"","","WIMD ","Income ","Employment ","Health ","Education ","Access to Services ","Community Safety ","Physical Environment ","Housing "
"","Grangetown 7 ",2,2,5,2,2,7,5,1,1
"","Grangetown 8 ",3,3,6,3,3,7,5,1,1
"","Grangetown 9 ",2,1,4,2,3,7,4,1,1
"","Grangetown 1 ",5,4,5,4,7,7,1,1,8
"","Grangetown 2 ",4,4,5,4,5,8,3,1,2
"","Grangetown 3 ",2,2,3,2,3,5,4,1,1
"","Grangetown 4 ",1,1,1,1,2,4,5,1,1
"","Butetown 2 ",9,10,10,10,5,6,9,4,10
"","Butetown 4 ",7,9,10,10,2,7,1,1,10
"","Butetown 5 ",9,9,10,10,8,7,8,1,10
"","Grangetown 10 ",9,10,10,10,5,8,6,2,9
"","Grangetown 12 ",9,10,10,10,7,8,2,2,10
"","Butetown 1 ",1,1,3,1,4,3,2,1,1
"","Butetown 3 ",2,2,3,3,4,3,2,2,1
"","Grangetown 11 ",3,2,3,3,2,3,2,5,6
"","Butetown 6 ",10,9,10,10,7,8,6,4,8
"","Butetown 7 ",6,9,10,10,4,3,1,1,9
"","Butetown 8 ",3,4,3,5,6,4,1,1,4
"Rhondda Cynon Taf ","",".",".",".",".",".",".",".",".","."
"Rhondda Cynon Taf ","Aberaman North 1 ",3,2,2,3,3,6,5,3,4
"","Aberaman North 2 ",2,1,1,2,2,6,4,7,4
"","Aberaman North 3 ",5,4,4,3,4,8,5,8,4
"","Aberaman South 1 ",3,3,2,4,2,5,4,5,3
"","Aberaman South 2 ",2,2,2,3,2,4,5,4,1
"","Aberaman South 3 ",2,2,2,2,2,7,3,2,1
"","Mountain Ash East 1 ",6,6,6,6,5,4,2,7,8
"","Mountain Ash East 2 ",3,4,2,3,6,3,4,4,4
"","Mountain Ash West 1 ",3,3,3,1,5,7,4,9,4
"","Mountain Ash West 2 ",1,1,1,2,1,3,4,4,6
"","Mountain Ash West 3 ",2,3,1,3,4,7,5,7,2
"","Penrhiwceiber 1 ",1,1,1,1,1,2,5,7,2
"","Penrhiwceiber 2 ",2,3,1,2,1,6,7,8,3
"","Penrhiwceiber 3 ",3,2,3,2,3,4,7,5,2
"","Penrhiwceiber 4 ",2,2,2,2,2,5,7,5,7
"","Abercynon 1 ",6,6,6,5,5,5,4,5,5
"","Abercynon 2 ",1,1,1,1,1,2,3,9,2
"","Abercynon 3 ",3,3,4,2,4,5,4,6,3
"","Abercynon 4 ",6,7,5,5,4,8,7,6,3
"","Hirwaun 1 ",6,5,4,4,6,9,7,2,9
"","Hirwaun 2 ",4,5,3,4,3,8,5,5,4
"","Hirwaun 3 ",1,1,1,1,2,8,3,5,6
"","Pen-y-waun 1 ",1,1,1,1,1,4,4,5,8
"","Pen-y-waun 2 ",1,1,1,1,1,2,3,8,4
"","Rhigos ",4,6,5,3,3,2,3,9,8
"","Aberdare East 2 ",4,4,3,5,5,8,2,1,1
"","Aberdare West/Llwydcoed 2 ",7,7,6,6,7,3,5,5,6
"","Aberdare West/Llwydcoed 3 ",3,2,2,3,2,9,5,4,8
"","Aberdare West/Llwydcoed 5 ",4,3,3,3,6,9,5,2,2
"","Aberdare East 3 ",4,4,3,4,4,6,3,6,4
"","Aberdare East 4 ",2,3,2,3,2,6,1,2,1
"","Aberdare West/Llwydcoed 1 ",8,8,6,5,8,8,5,3,10
"","Aberdare West/Llwydcoed 4 ",3,3,2,2,4,4,6,6,5
"","Aberdare West/Llwydcoed 6 ",10,10,9,9,10,10,9,10,10
"","Aberdare East 1 ",5,5,5,5,7,5,5,2,6
"","Cwmbach 1 ",4,4,4,5,4,7,2,6,4
"","Cwmbach 2 ",2,2,2,1,3,2,4,1,8
"","Cwmbach 3 ",9,9,7,6,6,10,6,4,9
"","Ferndale 1 ",4,4,3,4,7,10,8,4,1
"","Ferndale 3 ",3,3,2,3,5,5,7,5,2
"","Maerdy 1 ",1,1,1,1,2,5,2,5,3
"","Maerdy 2 ",1,1,1,1,1,3,4,6,5
"","Ferndale 2 ",4,4,4,3,4,9,6,4,2
"","Tylorstown 1 ",1,1,1,1,1,2,1,4,2
"","Tylorstown 2 ",2,2,2,2,1,5,4,3,1
"","Tylorstown 3 ",1,1,1,1,2,4,2,8,1
"","Cymmer (Rhondda Cynon Taf) 1 ",4,5,4,5,4,3,6,3,4
"","Porth 1 ",4,5,4,5,4,8,4,2,3
"","Porth 2 ",7,6,6,5,7,8,9,7,4
"","Porth 3 ",3,3,3,2,3,4,5,2,3
"","Ynyshir 1 ",1,1,1,1,1,2,5,5,3
"","Ynyshir 2 ",5,5,5,3,4,7,9,2,4
"","Cymmer (Rhondda Cynon Taf) 2 ",5,5,4,4,6,6,3,5,5
"","Cymmer (Rhondda Cynon Taf) 3 ",1,1,1,1,1,5,4,9,4
"","Cymmer (Rhondda Cynon Taf) 4 ",1,1,1,1,1,3,3,7,7
"","Porth 4 ",3,3,3,4,3,6,4,3,5
"","Treherbert 1 ",3,3,2,2,5,8,7,2,2
"","Treherbert 2 ",1,1,1,2,1,3,4,2,6
"","Treherbert 3 ",2,2,1,2,2,3,6,7,2
"","Treherbert 4 ",2,2,2,3,1,7,4,1,2
"","Treorchy 1 ",5,5,4,6,5,9,3,1,7
"","Treorchy 2 ",4,4,4,5,6,9,3,1,4
"","Treorchy 3 ",3,3,2,2,3,5,4,5,2
"","Treorchy 4 ",3,3,2,4,3,6,7,4,4
"","Treorchy 5 ",5,5,3,5,7,9,8,2,3
"","Pentre 1 ",4,4,3,3,5,10,4,1,2
"","Pentre 2 ",8,7,7,7,7,10,6,2,9
"","Pentre 3 ",1,2,1,2,2,7,1,1,5
"","Pentre 4 ",3,3,3,3,3,7,7,2,2
"","Llwyn-y-pia 1 ",3,4,3,3,3,7,3,4,3
"","Llwyn-y-pia 2 ",1,1,1,1,3,5,2,6,2
"","Trealaw 2 ",1,1,1,1,2,2,3,3,3
"","Ystrad 1 ",4,5,4,4,2,8,3,4,3
"","Ystrad 2 ",4,4,4,3,4,9,5,1,2
"","Ystrad 3 ",3,2,3,2,2,7,4,3,3
"","Ystrad 4 ",1,1,1,2,2,4,3,2,3
"","Cwm Clydach 1 ",1,1,2,2,2,4,5,8,1
"","Cwm Clydach 2 ",3,4,3,4,3,5,4,6,3
"","Tonypandy 1 ",3,3,3,3,3,8,6,3,3
"","Tonypandy 2 ",4,4,4,4,4,9,4,1,1
"","Pen-y-graig 1 ",2,2,2,2,2,7,3,7,3
"","Pen-y-graig 2 ",4,4,4,5,4,9,4,2,3
"","Pen-y-graig 3 ",1,1,1,1,1,6,3,2,2
"","Pen-y-graig 4 ",4,4,4,4,3,8,4,5,3
"","Trealaw 1 ",3,3,3,3,3,7,5,7,3
"","Trealaw 3 ",2,2,2,2,3,5,3,4,1
"","Gilfach Goch 1 ",5,4,4,3,5,6,7,7,5
"","Gilfach Goch 2 ",1,2,1,1,1,3,5,8,6
"","Tonyrefail West 1 ",4,4,3,3,4,3,8,5,3
"","Tonyrefail West 3 ",1,2,1,1,1,3,4,5,7
"","Tonyrefail West 2 ",10,9,9,7,8,8,9,4,10
"","Tonyrefail West 4 ",5,6,5,4,4,7,7,3,5
"","Tonyrefail East 1 ",4,3,3,3,3,7,4,6,7
"","Tonyrefail East 2 ",5,6,5,4,5,2,2,6,7
"","Tonyrefail East 3 ",1,1,1,1,2,3,6,9,5
"","Tonyrefail East 4 ",9,9,8,7,9,6,10,8,8
"","Brynna 1 ",9,9,9,6,6,9,9,7,8
"","Brynna 2 ",8,7,7,4,6,8,8,7,9
"","Llanharan 1 ",4,3,3,2,5,10,7,6,5
"","Llanharan 2 ",9,9,9,8,8,8,7,1,9
"","Llantrisant Town 1 ",10,9,9,9,8,8,10,5,9
"","Llantrisant Town 2 ",10,10,10,9,9,8,9,3,10
"","Llantrisant Town 3 ",6,6,5,5,6,4,7,8,7
"","Talbot Green 1 ",8,9,6,6,9,9,3,4,10
"","Talbot Green 2 ",3,3,2,2,6,6,4,4,7
"","Llanharry 1 ",9,9,9,7,7,9,9,3,9
"","Llanharry 2 ",2,2,2,1,2,8,8,5,7
"","Pont-y-clun 1 ",10,10,9,8,9,10,10,3,10
"","Pont-y-clun 2 ",10,10,10,10,10,10,10,4,10
"","Pont-y-clun 3 ",10,10,10,10,10,9,10,5,10
"","Pont-y-clun 4 ",7,5,6,4,7,9,10,6,7
"","Glyncoch 1 ",1,1,1,1,1,2,4,8,6
"","Glyncoch 2 ",3,3,2,2,3,3,4,8,6
"","Ynysybwl 1 ",2,2,2,2,2,5,5,6,2
"","Ynysybwl 2 ",4,5,5,5,3,2,6,3,8
"","Ynysybwl 3 ",9,9,8,6,7,6,10,8,10
"","Cilfynydd 1 ",5,4,4,5,4,10,5,4,3
"","Cilfynydd 2 ",4,5,4,3,4,8,6,3,4
"","Trallwng 1 ",4,4,5,3,4,9,6,2,1
"","Trallwng 2 ",8,7,5,6,9,8,9,7,7
"","Trallwng 3 ",3,4,4,4,3,8,1,1,3
"","Graig (Rhondda Cynon Taf) 1 ",4,4,5,4,2,5,2,9,2
"","Graig (Rhondda Cynon Taf) 2 ",2,3,2,2,2,3,2,6,3
"","Pontypridd Town 1 ",8,8,6,8,10,4,8,6,7
"","Pontypridd Town 2 ",6,6,5,5,8,5,1,3,7
"","Rhondda 1 ",4,5,5,3,5,3,4,3,4
"","Rhondda 2 ",3,2,4,2,4,4,5,3,7
"","Rhondda 3 ",7,7,7,5,7,6,4,5,5
"","Hawthorn 2 ",3,3,2,2,2,7,7,3,6
"","Rhydfelen Central / Llan 1 ",2,2,2,1,1,4,6,6,3
"","Rhydfelen Central / Llan 2 ",1,1,1,1,1,2,2,4,4
"","Treforest 1 ",4,5,6,3,3,4,3,3,1
"","Treforest 2 ",5,8,8,6,2,3,8,4,2
"","Treforest 3 ",5,10,10,7,2,3,7,2,2
"","Church Village 1 ",3,2,3,3,4,5,3,6,5
"","Ton-teg 1 ",8,8,8,6,5,8,6,7,10
"","Ton-teg 2 ",9,10,8,7,9,9,6,2,10
"","Ton-teg 3 ",7,6,5,5,6,9,4,7,7
"","Hawthorn 1 ",6,6,7,5,6,7,6,2,5
"","Rhydfelen Central / Llan 3 ",1,1,1,1,1,4,4,6,8
"","Taffs Well 1 ",7,8,7,5,7,5,6,3,7
"","Taffs Well 2 ",6,6,6,7,5,5,10,3,3
"","Llantwit Fardre 1 ",10,9,8,8,8,10,10,7,10
"","Llantwit Fardre 2 ",10,10,10,10,10,8,10,5,10
"","Llantwit Fardre 3 ",9,8,8,8,9,10,10,5,10
"","Llantwit Fardre 4 ",9,8,8,8,7,10,8,7,8
"","Church Village 2 ",10,10,10,10,10,10,8,5,10
"","Church Village 3 ",10,10,10,10,9,10,10,8,10
"","Beddau 1 ",8,8,7,5,7,10,8,3,9
"","Beddau 2 ",4,4,3,3,3,7,4,9,5
"","Beddau 3 ",10,8,8,10,10,9,9,6,10
"","Tyn-y-nant 1 ",9,9,9,8,6,10,8,3,7
"","Tyn-y-nant 2 ",4,4,5,3,2,9,4,4,3
"","Tyn-y-nant 3 ",1,1,1,1,1,6,3,7,4
"Merthyr Tydfil ","",".",".",".",".",".",".",".",".","."
"Merthyr Tydfil ","Cyfarthfa 2 ",1,1,1,1,2,2,2,6,5
"","Cyfarthfa 3 ",3,4,3,3,5,5,2,3,4
"","Park 3 ",1,1,1,1,4,3,2,2,1
"","Town 1 ",2,4,2,4,4,4,1,2,1
"","Plymouth (Merthyr Tydfil) 3 ",4,5,5,4,5,3,6,2,3
"","Town 2 ",8,7,7,6,7,5,8,6,4
"","Town 3 ",3,3,3,2,4,2,5,4,5
"","Town 4 ",5,7,5,5,5,6,4,1,3
"","Bedlinog 1 ",3,4,3,4,2,3,5,9,1
"","Merthyr Vale 1 ",3,3,4,2,2,4,5,3,1
"","Merthyr Vale 2 ",1,1,1,1,1,2,3,1,1
"","Merthyr Vale 3 ",6,6,5,5,4,8,7,5,2
"","Plymouth (Merthyr Tydfil) 1 ",3,3,2,3,3,4,3,3,3
"","Plymouth (Merthyr Tydfil) 2 ",4,4,3,5,4,9,6,1,1
"","Bedlinog 2 ",4,4,4,3,3,4,7,6,3
"","Treharris 1 ",9,9,9,8,8,5,10,6,9
"","Treharris 2 ",5,5,3,4,5,6,7,8,5
"","Treharris 3 ",4,4,4,3,3,6,4,8,3
"","Treharris 4 ",3,4,3,3,3,8,4,3,2
"","Dowlais 1 ",1,2,1,1,2,3,2,1,2
"","Dowlais 2 ",5,6,5,5,5,5,4,6,4
"","Dowlais 3 ",4,5,4,3,4,6,5,4,2
"","Dowlais 4 ",2,3,2,1,4,7,2,4,2
"","Penydarren 3 ",6,6,5,5,6,6,4,4,4
"","Penydarren 4 ",4,5,5,3,5,7,5,5,1
"","Cyfarthfa 1 ",6,5,5,5,6,4,8,9,9
"","Cyfarthfa 4 ",10,10,9,8,9,7,10,6,8
"","Park 1 ",4,6,3,5,6,6,3,1,3
"","Park 2 ",6,7,6,6,8,5,2,5,4
"","Vaynor 2 ",6,6,4,5,6,7,5,9,6
"","Gurnos 1 ",1,1,1,1,1,2,1,9,5
"","Gurnos 2 ",1,1,1,2,1,2,2,9,5
"","Gurnos 3 ",1,1,1,1,2,3,2,7,4
"","Penydarren 1 ",1,1,1,1,1,2,3,7,1
"","Penydarren 2 ",2,2,2,1,3,3,5,8,4
"","Vaynor 1 ",3,4,3,4,3,1,5,9,9
"Caerphilly ","",".",".",".",".",".",".",".",".","."
"Caerphilly ","Moriah 1 ",3,3,2,2,2,9,5,6,3
"","Moriah 2 ",2,2,1,1,3,8,1,2,4
"","Moriah 3 ",1,1,1,1,1,3,1,4,3
"","Pontlottyn ",2,2,1,3,2,6,2,6,5
"","Twyn Carno 1 ",1,1,1,1,1,3,1,3,7
"","Twyn Carno 2 ",3,3,2,4,5,6,1,3,6
"","Darren Valley 1 ",5,6,5,4,5,5,4,10,2
"","Darren Valley 2 ",1,2,1,1,1,4,4,8,4
"","New Tredegar 1 ",4,5,4,3,4,7,1,7,3
"","New Tredegar 2 ",2,2,2,1,2,3,2,8,2
"","New Tredegar 3 ",1,1,1,1,1,2,1,6,2
"","Aberbargoed 1 ",2,3,2,2,2,4,2,7,5
"","Aberbargoed 2 ",1,1,1,2,2,7,1,7,1
"","Gilfach ",3,4,2,3,4,7,3,6,3
"","Bargoed 1 ",3,4,2,2,5,6,2,8,6
"","Bargoed 2 ",4,4,3,4,5,10,1,6,3
"","Bargoed 3 ",3,4,3,3,2,9,2,5,1
"","Bargoed 4 ",1,1,1,1,1,2,1,9,5
"","Argoed (Caerphilly) 1 ",2,1,2,2,1,8,4,9,3
"","Argoed (Caerphilly) 2 ",4,5,6,7,5,2,4,7,1
"","Blackwood 1 ",6,5,5,5,6,8,2,4,5
"","Blackwood 5 ",9,9,8,9,10,7,5,7,9
"","Crumlin 1 ",8,8,9,7,7,8,8,1,4
"","Crumlin 2 ",9,8,8,7,7,8,7,5,9
"","Crumlin 3 ",2,2,2,2,1,3,3,6,8
"","Crumlin 4 ",5,6,5,5,5,7,4,3,3
"","Penmaen 1 ",10,9,8,8,9,10,6,5,10
"","Penmaen 2 ",5,5,5,4,4,10,7,6,4
"","Blackwood 2 ",3,2,2,4,2,5,2,7,7
"","Blackwood 3 ",10,9,8,9,9,10,6,6,10
"","Blackwood 4 ",5,5,5,5,6,9,1,6,4
"","Penmaen 3 ",8,8,6,6,7,8,6,7,8
"","Pontllanfraith 1 ",4,4,3,5,3,4,4,4,8
"","Pontllanfraith 2 ",3,3,2,2,5,3,3,5,5
"","Pontllanfraith 3 ",6,5,5,7,5,8,1,6,7
"","Pontllanfraith 4 ",9,9,8,8,8,10,9,5,8
"","Pontllanfraith 5 ",4,3,4,5,4,6,5,5,7
"","Newbridge 1 ",7,7,6,5,6,9,5,4,6
"","Newbridge 2 ",2,2,2,1,2,2,3,7,6
"","Newbridge 3 ",6,6,5,5,7,9,4,4,7
"","Newbridge 4 ",5,4,5,4,6,8,2,2,3
"","Abercarn 1 ",6,7,6,5,5,7,2,4,2
"","Abercarn 2 ",4,4,3,4,4,6,6,8,5
"","Abercarn 3 ",4,5,5,4,2,9,4,8,2
"","Crosskeys 1 ",7,6,6,7,5,8,6,8,5
"","Crosskeys 2 ",4,4,3,3,5,5,4,6,6
"","Ynysddu 1 ",5,5,6,3,5,6,4,7,3
"","Ynysddu 2 ",6,6,5,5,6,4,5,8,6
"","Risca East 1 ",7,7,7,6,6,7,3,4,4
"","Risca East 2 ",3,3,4,3,2,3,3,5,5
"","Risca East 3 ",8,7,7,7,8,8,3,6,5
"","Risca East 4 ",3,4,3,3,4,5,3,3,8
"","Risca West 1 ",5,5,4,5,5,9,4,3,4
"","Risca West 2 ",5,5,4,5,6,10,2,2,7
"","Risca West 3 ",4,4,4,3,3,6,3,2,4
"","Cefn Fforest 1 ",2,2,3,3,1,9,4,6,3
"","Cefn Fforest 2 ",3,3,2,3,3,7,2,6,7
"","Pengam 1 ",3,3,3,3,3,5,3,6,2
"","Pengam 2 ",3,2,2,3,2,7,1,7,5
"","Pengam 3 ",5,5,5,4,5,9,4,4,4
"","St. Cattwg 1 ",2,2,2,2,2,6,2,3,5
"","St. Cattwg 2 ",4,5,3,2,5,7,6,5,5
"","St. Cattwg 3 ",6,5,4,4,6,7,5,5,8
"","St. Cattwg 4 ",9,9,8,6,7,9,6,4,10
"","St. Cattwg 5 ",2,3,3,2,2,4,1,3,4
"","Hengoed (Caerphilly) 1 ",4,4,4,3,3,6,4,4,5
"","Hengoed (Caerphilly) 2 ",1,1,1,1,1,5,3,6,5
"","Hengoed (Caerphilly) 3 ",4,4,3,4,4,8,3,5,3
"","Maesycwmmer ",6,6,6,6,6,4,5,4,7
"","Nelson 1 ",6,6,5,6,5,9,4,6,5
"","Nelson 2 ",3,3,3,4,3,6,3,7,4
"","Nelson 3 ",8,6,6,6,7,10,8,5,10
"","Ystrad Mynach 1 ",7,6,6,6,6,7,6,6,7
"","Ystrad Mynach 2 ",4,5,4,4,6,10,1,1,2
"","Ystrad Mynach 3 ",9,10,9,8,10,6,2,2,9
"","Aber Valley 1 ",4,3,4,3,4,8,6,8,5
"","Aber Valley 2 ",4,3,3,3,3,9,8,6,3
"","Aber Valley 3 ",2,2,2,2,3,6,5,6,2
"","Aber Valley 4 ",2,2,3,2,2,6,4,9,1
"","Llanbradach 1 ",6,6,5,5,5,7,8,3,7
"","Llanbradach 2 ",6,5,6,5,3,10,4,5,3
"","Llanbradach 3 ",3,2,3,3,3,6,4,4,4
"","Penyrheol (Caerphilly) 1 ",3,3,2,3,2,7,4,3,6
"","Penyrheol (Caerphilly) 5 ",8,7,5,6,5,8,8,9,8
"","Penyrheol (Caerphilly) 8 ",1,1,1,1,1,3,4,6,7
"","Bedwas Trethomas and Machen 1 ",9,9,9,7,8,7,8,5,9
"","Bedwas Trethomas and Machen 2 ",2,2,2,2,2,8,4,5,4
"","Bedwas Trethomas and Machen 5 ",6,5,5,4,6,10,4,4,6
"","Bedwas Trethomas and Machen 7 ",5,4,5,5,4,8,4,6,4
"","Bedwas Trethomas and Machen 3 ",9,9,9,7,8,10,7,2,10
"","Bedwas Trethomas and Machen 4 ",9,8,8,9,8,9,7,5,7
"","Bedwas Trethomas and Machen 6 ",1,1,1,1,1,3,3,8,5
"","St. James 1 ",7,7,7,8,10,1,2,5,7
"","Morgan Jones 2 ",2,2,2,2,1,3,2,2,6
"","Morgan Jones 3 ",7,7,6,6,5,10,4,1,7
"","Morgan Jones 4 ",5,6,6,6,7,9,2,1,2
"","St. James 2 ",8,8,7,8,8,8,7,2,8
"","St. James 3 ",1,1,1,1,1,3,1,1,4
"","St. James 4 ",1,1,1,3,1,4,1,3,6
"","Morgan Jones 1 ",6,6,6,4,7,6,3,3,8
"","Penyrheol (Caerphilly) 2 ",10,10,10,10,9,9,9,5,7
"","Penyrheol (Caerphilly) 3 ",3,3,4,3,4,6,4,1,4
"","Penyrheol (Caerphilly) 4 ",2,2,2,2,2,3,3,2,5
"","Penyrheol (Caerphilly) 7 ",8,6,6,6,8,8,8,2,9
"","Penyrheol (Caerphilly) 6 ",9,8,9,6,9,10,8,5,10
"","St. Martins 1 ",9,10,9,7,9,8,5,1,8
"","St. Martins 2 ",4,4,5,4,5,6,2,4,2
"","St. Martins 3 ",8,7,7,7,7,7,3,5,8
"","St. Martins 4 ",9,9,8,10,9,9,3,4,9
"","St. Martins 5 ",10,10,10,10,10,10,9,4,10
"Blaenau Gwent ","",".",".",".",".",".",".",".",".","."
"Blaenau Gwent ","Beaufort 1 ",4,3,3,5,3,6,5,7,6
"","Beaufort 2 ",2,2,2,1,2,2,2,8,6
"","Beaufort 3 ",8,8,7,7,8,10,3,4,6
"","Rassau 1 ",6,7,6,7,5,5,3,3,9
"","Rassau 2 ",2,2,2,2,1,4,4,4,6
"","Brynmawr 1 ",5,6,5,4,4,9,3,3,6
"","Brynmawr 2 ",2,2,2,2,2,3,4,6,3
"","Brynmawr 3 ",3,4,2,4,5,10,1,5,4
"","Brynmawr 4 ",3,3,2,3,4,8,2,5,7
"","Sirhowy 1 ",6,7,5,6,7,4,4,3,7
"","Sirhowy 2 ",1,1,1,1,1,2,1,5,7
"","Sirhowy 3 ",3,3,2,3,3,2,2,5,9
"","Sirhowy 4 ",5,6,5,5,7,6,1,2,2
"","Tredegar Central and West 3 ",2,2,1,1,3,3,4,5,6
"","Badminton 1 ",4,4,3,3,3,5,3,6,9
"","Badminton 2 ",7,7,6,4,5,7,6,5,7
"","Ebbw Vale North 1 ",2,2,2,3,3,6,1,6,2
"","Ebbw Vale North 2 ",1,1,1,1,1,2,1,8,7
"","Ebbw Vale North 3 ",5,5,5,5,5,8,3,6,3
"","Blaina 1 ",2,3,2,1,2,7,1,8,3
"","Blaina 2 ",3,3,3,3,2,6,3,3,7
"","Blaina 3 ",4,5,3,3,5,8,3,9,2
"","Nantyglo 1 ",2,2,3,1,2,3,1,8,4
"","Nantyglo 2 ",2,3,2,2,2,6,2,7,4
"","Nantyglo 3 ",1,1,1,1,1,3,2,8,6
"","Georgetown 1 ",5,5,3,4,7,4,3,9,5
"","Georgetown 2 ",7,6,5,6,7,9,5,7,2
"","Tredegar Central and West 1 ",5,5,5,6,6,8,1,6,3
"","Tredegar Central and West 2 ",1,1,1,1,1,2,1,6,6
"","Tredegar Central and West 4 ",2,2,1,2,4,6,1,2,7
"","Cwm 1 ",4,4,3,4,5,6,4,5,4
"","Cwm 2 ",2,2,2,2,2,8,2,3,3
"","Cwm 3 ",7,8,7,7,5,2,4,9,4
"","Ebbw Vale South 1 ",1,1,1,2,1,2,2,4,1
"","Ebbw Vale South 2 ",3,4,3,5,6,3,1,6,2
"","Ebbw Vale South 3 ",3,3,3,3,3,5,1,3,4
"","Abertillery 1 ",3,5,4,3,3,8,2,2,1
"","Abertillery 2 ",2,3,1,4,2,7,1,4,1
"","Abertillery 3 ",6,6,4,5,5,10,3,6,2
"","Cwmtillery 1 ",1,2,1,2,1,3,2,9,3
"","Cwmtillery 2 ",3,3,3,3,2,3,2,8,2
"","Cwmtillery 3 ",3,4,3,3,3,7,3,6,4
"","Llanhilleth 1 ",2,2,1,1,3,3,5,7,4
"","Llanhilleth 2 ",2,2,1,2,3,2,3,3,5
"","Llanhilleth 3 ",2,3,2,3,1,3,2,2,1
"","Six Bells 1 ",2,2,2,3,2,3,2,5,1
"","Six Bells 2 ",4,4,5,5,4,6,3,6,2
"Torfaen ","",".",".",".",".",".",".",".",".","."
"Torfaen ","Blaenavon 1 ",4,3,3,5,3,7,2,3,8
"","Blaenavon 2 ",2,2,2,2,1,5,4,4,3
"","Blaenavon 3 ",3,4,3,4,2,6,1,3,2
"","Blaenavon 4 ",5,4,6,6,4,10,2,3,2
"","Abersychan 1 ",2,3,3,1,2,3,4,6,3
"","Abersychan 2 ",2,1,2,1,3,6,3,1,8
"","Abersychan 3 ",6,6,6,5,5,6,3,7,4
"","Abersychan 4 ",2,2,2,2,2,3,1,9,7
"","Abersychan 5 ",5,5,4,4,6,8,2,5,6
"","St. Cadocs and Penygarn ",2,2,3,2,1,7,1,8,6
"","Snatchwood ",2,3,2,3,3,7,2,2,4
"","Trevethin 1 ",1,1,1,1,1,3,1,6,6
"","Trevethin 2 ",2,3,3,2,2,4,1,3,3
"","Brynwern ",2,3,3,2,3,5,2,7,2
"","Cwmyniscoy ",2,3,2,3,1,2,2,2,2
"","Pontnewynydd ",4,4,4,4,3,5,3,5,2
"","Pontypool ",3,4,2,4,3,6,1,5,6
"","Wainfelin 1 ",6,7,6,5,6,8,3,6,2
"","Wainfelin 2 ",3,4,4,3,4,2,4,6,2
"","New Inn 1 ",7,6,5,7,6,8,6,4,5
"","New Inn 2 ",6,5,6,4,5,8,7,5,5
"","New Inn 3 ",10,10,10,9,9,9,10,4,10
"","New Inn 4 ",10,10,8,9,9,8,7,4,10
"","Panteg 1 ",9,9,8,6,8,10,4,6,7
"","Panteg 2 ",7,7,7,6,7,9,3,6,2
"","Panteg 3 ",3,3,3,2,4,2,6,6,8
"","Panteg 4 ",9,9,9,7,8,9,7,4,6
"","Panteg 5 ",9,9,8,8,8,7,8,5,9
"","Croesyceiliog North 1 ",5,5,4,4,4,6,7,1,6
"","Croesyceiliog North 2 ",9,8,8,8,6,9,8,4,8
"","Croesyceiliog South ",8,7,7,6,6,7,5,4,10
"","Llanyrafon North ",7,6,6,7,7,7,7,2,7
"","Llantarnam 1 ",6,6,6,4,6,4,6,4,3
"","Llantarnam 2 ",8,8,7,7,7,5,5,4,7
"","Llanyrafon South 1 ",9,9,6,8,8,7,7,3,9
"","Llanyrafon South 2 ",10,10,10,10,10,10,9,1,10
"","Pontnewydd 1 ",1,1,1,1,2,3,1,1,5
"","Pontnewydd 2 ",6,6,7,5,5,7,3,2,3
"","Pontnewydd 3 ",5,4,4,4,4,9,3,3,7
"","Pontnewydd 4 ",4,4,3,3,5,5,3,3,7
"","Upper Cwmbran 2 ",8,8,8,5,6,8,4,7,9
"","Greenmeadow 1 ",2,2,2,2,1,5,2,8,7
"","Greenmeadow 3 ",2,2,3,2,2,5,2,4,4
"","Upper Cwmbran 1 ",1,1,2,1,2,4,2,8,6
"","Upper Cwmbran 3 ",2,1,2,3,1,5,3,4,6
"","Upper Cwmbran 4 ",3,3,4,2,1,7,3,7,5
"","Llantarnam 3 ",2,2,1,2,3,5,1,4,3
"","St. Dials 1 ",2,2,2,2,2,4,2,3,7
"","St. Dials 2 ",4,3,3,3,7,7,3,5,7
"","St. Dials 3 ",4,5,4,5,4,6,1,3,4
"","Two Locks 1 ",2,2,3,2,1,4,2,4,4
"","Fairwater (Torfaen) 1 ",3,3,3,3,3,8,2,4,6
"","Fairwater (Torfaen) 2 ",2,2,3,2,2,8,2,4,8
"","Fairwater (Torfaen) 3 ",7,6,6,6,5,10,6,6,10
"","Fairwater (Torfaen) 4 ",10,10,8,8,9,10,9,3,10
"","Greenmeadow 2 ",9,8,9,8,7,9,2,8,9
"","Coed Eva ",7,6,6,6,6,7,3,5,9
"","Two Locks 2 ",10,10,10,9,10,6,8,7,10
"","Two Locks 3 ",6,5,5,5,6,5,5,4,9
"","Two Locks 4 ",8,6,6,6,7,5,9,8,10
"Monmouthshire ","",".",".",".",".",".",".",".",".","."
"Monmouthshire ","Goetre Fawr 1 ",9,10,9,10,10,1,9,7,9
"","Goetre Fawr 2 ",7,8,6,6,7,2,9,7,9
"","Llanbadoc ",8,10,10,10,10,1,5,2,3
"","Llangybi Fawr ",8,9,9,9,10,1,8,4,3
"","Usk 1 ",8,8,8,8,10,9,9,1,5
"","Usk 2 ",10,10,10,10,10,9,10,2,10
"","Devauden ",8,10,10,10,10,1,10,6,5
"","St. Arvans ",8,9,10,10,10,1,8,4,2
