LSOA11CD,LSOA11NM,percent_welsh_speakers
W01000653,Carmarthenshire 023A,33.2
W01001632,Newport 017D,7.2
W01001635,Newport 016A,10.4
W01000652,Carmarthenshire 020B,25.8
W01000008,Isle of Anglesey 008A,73.2
W01001906,Powys 001F,42.1
W01001059,The Vale of Glamorgan 015A,13.8
W01001058,Bridgend 006C,8.8
W01001051,Bridgend 008E,10.1
W01001050,Bridgend 008D,8.9
W01001053,Bridgend 018E,8.4
W01001052,Bridgend 008F,8.5
W01001055,Bridgend 007C,8.5
W01001054,Bridgend 018F,10.2
W01001387,Caerphilly 007C,13.4
W01001306,Merthyr Tydfil 003D,7.9
W01001348,Caerphilly 009A,9.4
W01001349,Caerphilly 009B,14.0
W01001627,Newport 001E,11.2
W01000438,Powys 012A,11.3
W01001368,Caerphilly 019C,13.4
W01000209,Denbighshire 016D,20.0
W01000288,Flintshire 004A,11.6
W01000208,Denbighshire 016C,20.8
W01001226,Rhondda Cynon Taf 031F,14.4
W01001227,Rhondda Cynon Taf 021C,20.4
W01000240,Denbighshire 004E,9.4
W01000243,Denbighshire 014B,38.4
W01001561,Monmouthshire 003A,7.9
W01001560,Monmouthshire 006C,10.5
W01001158,Rhondda Cynon Taf 028B,10.0
W01001860,Cardiff 034C,19.7
W01001203,Rhondda Cynon Taf 009D,9.3
W01001282,Rhondda Cynon Taf 015C,12.6
W01001283,Rhondda Cynon Taf 015D,14.8
W01001202,Rhondda Cynon Taf 009C,10.1
W01000060,Gwynedd 015B,55.8
W01000063,Gwynedd 005A,74.4
W01000062,Gwynedd 001A,22.8
W01001281,Rhondda Cynon Taf 017F,13.2
W01000278,Flintshire 007D,9.0
W01000065,Gwynedd 009B,79.3
W01000279,Flintshire 008C,7.5
W01000064,Gwynedd 002A,52.6
W01000067,Gwynedd 016D,61.8
W01000066,Gwynedd 010A,67.6
W01000109,Gwynedd 012E,78.3
W01000271,Flintshire 006C,19.4
W01000270,Flintshire 006B,21.2
W01000068,Gwynedd 016E,67.1
W01000061,Gwynedd 011B,64.2
W01001587,Monmouthshire 008C,6.8
W01000173,Conwy 003B,23.0
W01000172,Conwy 013E,37.2
W01000175,Conwy 003D,22.0
W01000174,Conwy 003C,23.7
W01000177,Conwy 011E,28.9
W01000176,Conwy 011D,28.1
W01000171,Conwy 013D,31.7
W01000170,Conwy 013C,48.4
W01000115,Gwynedd 003E,69.0
W01001392,Caerphilly 009D,9.6
W01001868,Cardiff 022D,6.3
W01001522,Torfaen 007D,10.4
W01001425,Caerphilly 024D,13.5
W01000297,Flintshire 003D,12.2
W01001690,Newport 013D,7.2
W01001611,Newport 011A,10.0
W01001691,Newport 011D,9.4
W01001610,Newport 015C,9.5
W01000549,Ceredigion 001E,56.5
W01000548,Ceredigion 001D,54.8
W01001241,Rhondda Cynon Taf 026D,17.1
W01001466,Blaenau Gwent 009C,6.9
W01001878,Cardiff 011B,7.6
W01001879,Cardiff 013A,7.9
W01001411,Caerphilly 017A,9.4
W01000502,Powys 021C,45.9
W01001776,Cardiff 021C,10.4
W01000846,Swansea 001B,32.6
W01001065,The Vale of Glamorgan 012B,12.2
W01001064,The Vale of Glamorgan 013B,11.6
W01001067,The Vale of Glamorgan 009A,9.3
