"","","","","","All ages ","","","All ages "
"","","","","","Aged 0 to 15 ","Aged 16 to 64 ","Aged 65 and over ","."
"","","","","Llanishen 4 ",272,916,230,1418
"","","","","Llanishen 9 ",174,659,423,1256
"","","","Cardiff 002 ","",1026,3829,954,5809
"","","","Cardiff 002 ","Llanishen 3 ",277,1012,156,1445
"","","","","Llanishen 5 ",270,1043,220,1533
"","","","","Llanishen 6 ",233,882,284,1399
"","","","","Llanishen 8 ",246,892,294,1432
"","","","Cardiff 003 ","",1857,5548,847,8252
"","","","Cardiff 003 ","Pontprennau/Old St. Mellons 2 ",419,1309,239,1967
"","","","","Pontprennau/Old St. Mellons 3 ",393,1160,140,1693
"","","","","Pontprennau/Old St. Mellons 4 ",663,1737,210,2610
"","","","","Pontprennau/Old St. Mellons 5 ",382,1342,258,1982
"","","","Cardiff 005 ","",1957,5715,1777,9449
"","","","Cardiff 005 ","Llanishen 1 ",304,882,428,1614
"","","","","Llanishen 2 ",425,1031,314,1770
"","","","","Llanishen 7 ",253,810,343,1406
"","","","","Llanishen 10 ",303,917,317,1537
"","","","","Llanishen 11 ",287,1039,161,1487
"","","","","Llanishen 12 ",385,1036,214,1635
"","","Cardiff U003 ","","",6343,19851,6404,32598
"","","Cardiff U003 ","Cardiff 006 ","",1745,4774,1510,8029
"","","","Cardiff 006 ","Pentyrch 2 ",241,698,237,1176
"","","","","Radyr & Morganstown 1 ",475,1136,216,1827
"","","","","Radyr & Morganstown 2 ",254,770,501,1525
"","","","","Radyr & Morganstown 3 ",532,1346,141,2019
"","","","","Radyr & Morganstown 4 ",243,824,415,1482
"","","","Cardiff 014 ","",1303,4149,1622,7074
"","","","Cardiff 014 ","Creigiau/St. Fagans 1 ",185,604,296,1085
"","","","","Creigiau/St. Fagans 2 ",275,837,345,1457
"","","","","Creigiau/St. Fagans 3 ",397,1411,361,2169
"","","","","Pentyrch 1 ",446,1297,620,2363
"","","","Cardiff 023 ","",1882,5412,1311,8605
"","","","Cardiff 023 ","Llandaff North 1 ",293,699,199,1191
"","","","","Llandaff North 2 ",358,1052,226,1636
"","","","","Llandaff North 3 ",326,941,221,1488
"","","","","Llandaff North 4 ",328,915,190,1433
"","","","","Llandaff North 5 ",275,1068,241,1584
"","","","","Llandaff North 6 ",302,737,234,1273
"","","","Cardiff 026 ","",1413,5516,1961,8890
"","","","Cardiff 026 ","Llandaff 1 ",253,883,317,1453
"","","","","Llandaff 2 ",236,1245,308,1789
"","","","","Llandaff 3 ",274,1039,451,1764
"","","","","Llandaff 4 ",248,824,320,1392
"","","","","Llandaff 5 ",202,752,252,1206
"","","","","Llandaff 6 ",200,773,313,1286
"","","Cardiff U004 ","","",8978,24254,5878,39110
"","","Cardiff U004 ","Cardiff 007 ","",1634,4222,980,6836
"","","","Cardiff 007 ","Llanrumney 1 ",315,1068,315,1698
"","","","","Llanrumney 6 ",445,1005,145,1595
"","","","","Llanrumney 7 ",557,1041,187,1785
"","","","","Pontprennau/Old St. Mellons 1 ",317,1108,333,1758
"","","","Cardiff 011 ","",1607,4735,941,7283
"","","","Cardiff 011 ","Trowbridge 1 ",300,1161,214,1675
"","","","","Trowbridge 2 ",344,966,316,1626
"","","","","Trowbridge 6 ",368,1197,194,1759
"","","","","Trowbridge 9 ",595,1411,217,2223
"","","","Cardiff 013 ","",1868,4005,659,6532
"","","","Cardiff 013 ","Trowbridge 3 ",501,1180,232,1913
"","","","","Trowbridge 4 ",532,1055,89,1676
"","","","","Trowbridge 5 ",349,911,261,1521
"","","","","Trowbridge 8 ",486,859,77,1422
"","","","Cardiff 015 ","",1371,3993,1088,6452
"","","","Cardiff 015 ","Llanrumney 2 ",381,1054,281,1716
"","","","","Llanrumney 3 ",393,1031,227,1651
"","","","","Llanrumney 4 ",315,896,173,1384
"","","","","Llanrumney 5 ",282,1012,407,1701
"","","","Cardiff 016 ","",1398,3718,976,6092
"","","","Cardiff 016 ","Rumney 4 ",312,914,375,1601
"","","","","Rumney 5 ",395,896,177,1468
"","","","","Trowbridge 7 ",374,1061,284,1719
"","","","","Trowbridge 10 ",317,847,140,1304
"","","","Cardiff 022 ","",1100,3581,1234,5915
"","","","Cardiff 022 ","Rumney 1 ",271,981,319,1571
"","","","","Rumney 2 ",245,852,407,1504
"","","","","Rumney 3 ",224,825,245,1294
"","","","","Rumney 6 ",360,923,263,1546
"","","Cardiff U005 ","","",6002,17011,5148,28161
"","","Cardiff U005 ","Cardiff 008 ","",1177,3228,1458,5863
"","","","Cardiff 008 ","Cyncoed 1 ",269,793,482,1544
"","","","","Cyncoed 2 ",350,818,329,1497
"","","","","Cyncoed 7 ",299,819,390,1508
"","","","","Pentwyn 7 ",259,798,257,1314
"","","","Cardiff 009 ","",1929,4533,937,7399
"","","","Cardiff 009 ","Pentwyn 3 ",488,912,167,1567
"","","","","Pentwyn 8 ",756,1805,307,2868
"","","","","Pentwyn 9 ",282,830,265,1377
"","","","","Pentwyn 10 ",403,986,198,1587
"","","","Cardiff 017 ","",1594,4436,1260,7290
"","","","Cardiff 017 ","Pentwyn 1 ",236,792,258,1286
"","","","","Pentwyn 2 ",470,1018,217,1705
"","","","","Pentwyn 4 ",268,749,266,1283
"","","","","Pentwyn 5 ",386,1020,233,1639
"","","","","Pentwyn 6 ",234,857,286,1377
"","","","Cardiff 019 ","",1302,4814,1493,7609
"","","","Cardiff 019 ","Cyncoed 3 ",349,947,365,1661
"","","","","Cyncoed 4 ",318,2076,326,2720
"","","","","Cyncoed 5 ",333,896,353,1582
"","","","","Cyncoed 6 ",302,895,449,1646
"","","Cardiff U006 ","","",4444,23188,3775,31407
"","","Cardiff U006 ","Cardiff 024 ","",1079,3818,1573,6470
"","","","Cardiff 024 ","Penylan 1 ",213,1346,373,1932
"","","","","Penylan 6 ",265,745,366,1376
"","","","","Penylan 7 ",332,915,381,1628
"","","","","Penylan 8 ",269,812,453,1534
"","","","Cardiff 029 ","",1329,4762,954,7045
"","","","Cardiff 029 ","Penylan 2 ",333,1177,367,1877
"","","","","Penylan 3 ",284,855,179,1318
"","","","","Penylan 4 ",239,1063,214,1516
"","","","","Penylan 5 ",473,1667,194,2334
"","","","Cardiff 030 ","",1079,6206,496,7781
"","","","Cardiff 030 ","Plasnewydd 3 ",171,1190,102,1463
"","","","","Plasnewydd 8 ",284,1191,70,1545
"","","","","Plasnewydd 9 ",156,1326,110,1592
"","","","","Plasnewydd 10 ",268,1340,106,1714
"","","","","Plasnewydd 11 ",200,1159,108,1467
"","","","Cardiff 033 ","",957,8402,752,10111
"","","","Cardiff 033 ","Plasnewydd 1 ",212,1472,80,1764
"","","","","Plasnewydd 2 ",126,1379,73,1578
"","","","","Plasnewydd 4 ",64,1745,41,1850
"","","","","Plasnewydd 5 ",258,1085,177,1520
"","","","","Plasnewydd 6 ",199,1285,125,1609
"","","","","Plasnewydd 7 ",98,1436,256,1790
"","","Cardiff U007 ","","",5406,20093,3533,29032
"","","Cardiff U007 ","Cardiff 034 ","",873,4959,880,6712
"","","","Cardiff 034 ","Riverside 4 ",215,1300,266,1781
"","","","","Riverside 5 ",193,1083,219,1495
"","","","","Riverside 6 ",235,1267,209,1711
"","","","","Riverside 7 ",230,1309,186,1725
"","","","Cardiff 035 ","",1168,3871,945,5984
"","","","Cardiff 035 ","Canton 6 ",368,887,268,1523
"","","","","Canton 7 ",278,1076,228,1582
"","","","","Canton 8 ",284,802,223,1309
"","","","","Canton 9 ",238,1106,226,1570
"","","","Cardiff 040 ","",1714,6137,1105,8956
"","","","Cardiff 040 ","Canton 1 ",397,1424,250,2071
"","","","","Canton 2 ",362,1258,207,1827
"","","","","Canton 3 ",407,1180,282,1869
"","","","","Canton 4 ",215,1048,213,1476
"","","","","Canton 5 ",333,1227,153,1713
"","","","Cardiff 042 ","",1651,5126,603,7380
"","","","Cardiff 042 ","Riverside 1 ",435,1220,132,1787
"","","","","Riverside 2 ",369,1373,109,1851
"","","","","Riverside 3 ",472,1303,215,1990
"","","","","Riverside 8 ",375,1230,147,1752
"","","Cardiff U008 ","","",9770,24639,6047,40456
"","","Cardiff U008 ","Cardiff 027 ","",1479,4126,998,6603
"","","","Cardiff 027 ","Fairwater (Cardiff) 1 ",276,1084,302,1662
"","","","","Fairwater (Cardiff) 2 ",424,986,233,1643
"","","","","Fairwater (Cardiff) 3 ",274,927,255,1456
"","","","","Fairwater (Cardiff) 5 ",505,1129,208,1842
"","","","Cardiff 031 ","",1240,3957,1262,6459
"","","","Cardiff 031 ","Fairwater (Cardiff) 4 ",320,962,380,1662
"","","","","Fairwater (Cardiff) 6 ",263,953,311,1527
"","","","","Fairwater (Cardiff) 7 ",385,994,202,1581
"","","","","Fairwater (Cardiff) 8 ",272,1048,369,1689
"","","","Cardiff 039 ","",2453,4548,793,7794
"","","","Cardiff 039 ","Ely 1 ",442,943,223,1608
"","","","","Ely 2 ",514,852,110,1476
"","","","","Ely 3 ",460,843,123,1426
"","","","","Ely 4 ",411,906,197,1514
"","","","","Ely 5 ",626,1004,140,1770
"","","","Cardiff 041 ","",1652,4098,1022,6772
"","","","Cardiff 041 ","Caerau (Cardiff) 3 ",515,1035,190,1740
"","","","","Caerau (Cardiff) 5 ",257,824,252,1333
"","","","","Caerau (Cardiff) 6 ",559,1290,279,2128
"","","","","Ely 10 ",321,949,301,1571
"","","","Cardiff 043 ","",1365,3632,1077,6074
"","","","Cardiff 043 ","Ely 6 ",439,918,197,1554
"","","","","Ely 7 ",238,880,312,1430
"","","","","Ely 8 ",471,1009,282,1762
"","","","","Ely 9 ",217,825,286,1328
"","","","Cardiff 045 ","",1581,4278,895,6754
"","","","Cardiff 045 ","Caerau (Cardiff) 1 ",423,1210,227,1860
"","","","","Caerau (Cardiff) 2 ",284,792,205,1281
"","","","","Caerau (Cardiff) 4 ",491,1211,214,1916
"","","","","Caerau (Cardiff) 7 ",383,1065,249,1697
"","","Cardiff U009 ","","",4134,36044,3635,43813
"","","Cardiff U009 ","Cardiff 018 ","",1050,3468,1203,5721
"","","","Cardiff 018 ","Heath 1 ",315,942,341,1598
"","","","","Heath 2 ",155,746,221,1122
"","","","","Heath 3 ",295,979,338,1612
"","","","","Heath 6 ",285,801,303,1389
"","","","Cardiff 021 ","",1040,3905,1194,6139
"","","","Cardiff 021 ","Heath 4 ",233,826,388,1447
"","","","","Heath 7 ",334,1068,260,1662
"","","","","Heath 8 ",251,794,239,1284
"","","","","Whitchurch and Tongwynlais 4 ",222,1217,307,1746
"","","","Cardiff 025 ","",1011,8028,549,9588
"","","","Cardiff 025 ","Gabalfa 1 ",183,1164,81,1428
"","","","","Gabalfa 2 ",405,3944,201,4550
"","","","","Gabalfa 3 ",218,1128,112,1458
"","","","","Gabalfa 4 ",205,1792,155,2152
"","","","Cardiff 028 ","",601,8961,391,9953
"","","","Cardiff 028 ","Cathays 1 ",155,1402,56,1613
"","","","","Cathays 2 ",179,2248,114,2541
"","","","","Cathays 3 ",75,2030,57,2162
"","","","","Cathays 5 ",85,1672,50,1807
"","","","","Cathays 8 ",107,1609,114,1830
"","","","Cardiff 032 ","",432,11682,298,12412
"","","","Cardiff 032 ","Cathays 4 ",63,2741,118,2922
"","","","","Cathays 6 ",26,2306,39,2371
"","","","","Cathays 7 ",47,2200,33,2280
"","","","","Cathays 9 ",25,1957,25,2007
"","","","","Cathays 10 ",105,1164,37,1306
"","","","","Cathays 11 ",166,1314,46,1526
"","","Cardiff U010 ","","",11127,45198,4937,61262
"","","Cardiff U010 ","Cardiff 036 ","",1916,9406,643,11965
"","","","Cardiff 036 ","Adamsdown 1 ",384,1550,110,2044
"","","","","Adamsdown 2 ",556,3815,107,4478
"","","","","Adamsdown 3 ",356,1216,136,1708
"","","","","Adamsdown 4 ",273,1177,169,1619
"","","","","Adamsdown 5 ",347,1648,121,2116
"","","","Cardiff 037 ","",1831,4947,707,7485
"","","","Cardiff 037 ","Splott 2 ",294,927,153,1374
"","","","","Splott 3 ",414,991,176,1581
"","","","","Splott 7 ",664,2012,170,2846
"","","","","Splott 8 ",459,1017,208,1684
"","","","Cardiff 038 ","",1136,4324,713,6173
"","","","Cardiff 038 ","Splott 1 ",178,942,180,1300
"","","","","Splott 4 ",276,1115,207,1598
"","","","","Splott 5 ",348,1252,175,1775
"","","","","Splott 6 ",334,1015,151,1500
"","","","Cardiff 044 ","",2282,5977,681,8940
"","","","Cardiff 044 ","Grangetown 5 ",461,1456,146,2063
"","","","","Grangetown 6 ",403,983,126,1512
"","","","","Grangetown 7 ",485,1194,144,1823
"","","","","Grangetown 8 ",432,1218,142,1792
"","","","","Grangetown 9 ",501,1126,123,1750
"","","","Cardiff 046 ","",1548,4586,836,6970
"","","","Cardiff 046 ","Grangetown 1 ",301,1056,199,1556
"","","","","Grangetown 2 ",304,1127,232,1663
"","","","","Grangetown 3 ",435,1207,219,1861
"","","","","Grangetown 4 ",508,1196,186,1890
"","","","Cardiff 048 ","",804,7884,421,9109
"","","","Cardiff 048 ","Butetown 2 ",45,1257,155,1457
"","","","","Butetown 4 ",129,1447,88,1664
"","","","","Butetown 5 ",131,1247,47,1425
"","","","","Grangetown 10 ",168,2116,58,2342
"","","","","Grangetown 12 ",331,1817,73,2221
"","","","Cardiff 049 ","",1610,8074,936,10620
"","","","Cardiff 049 ","Butetown 1 ",667,1741,215,2623
"","","","","Butetown 3 ",269,1200,195,1664
"","","","","Grangetown 11 ",260,1035,134,1429
"","","","","Butetown 6 ",148,1355,177,1680
"","","","","Butetown 7 ",104,1250,52,1406
"","","","","Butetown 8 ",162,1493,163,1818
"","Rhondda Cynon Taf ","","","",44855,149282,45994,240131
"","Rhondda Cynon Taf ","Rhondda Cynon Taff U001 ","","",5776,18384,5654,29814
"","","Rhondda Cynon Taff U001 ","Rhondda Cynon Taf 005 ","",1971,6186,1938,10095
"","","","Rhondda Cynon Taf 005 ","Aberaman North 1 ",436,1359,469,2264
"","","","","Aberaman North 2 ",248,773,250,1271
"","","","","Aberaman North 3 ",363,1043,265,1671
"","","","","Aberaman South 1 ",214,882,296,1392
"","","","","Aberaman South 2 ",364,992,315,1671
"","","","","Aberaman South 3 ",346,1137,343,1826
"","","","Rhondda Cynon Taf 006 ","",1297,4434,1587,7318
"","","","Rhondda Cynon Taf 006 ","Mountain Ash East 1 ",262,810,259,1331
"","","","","Mountain Ash East 2 ",237,925,389,1551
"","","","","Mountain Ash West 1 ",249,812,341,1402
"","","","","Mountain Ash West 2 ",261,912,271,1444
"","","","","Mountain Ash West 3 ",288,975,327,1590
"","","","Rhondda Cynon Taf 008 ","",1251,3695,1038,5984
"","","","Rhondda Cynon Taf 008 ","Penrhiwceiber 1 ",352,906,181,1439
"","","","","Penrhiwceiber 2 ",302,935,312,1549
"","","","","Penrhiwceiber 3 ",312,1012,305,1629
"","","","","Penrhiwceiber 4 ",285,842,240,1367
"","","","Rhondda Cynon Taf 012 ","",1257,4069,1091,6417
"","","","Rhondda Cynon Taf 012 ","Abercynon 1 ",261,918,289,1468
"","","","","Abercynon 2 ",369,1043,229,1641
"","","","","Abercynon 3 ",381,1184,274,1839
"","","","","Abercynon 4 ",246,924,299,1469
"","","Rhondda Cynon Taff U002 ","","",5671,18726,6288,30685
"","","Rhondda Cynon Taff U002 ","Rhondda Cynon Taf 001 ","",1853,5597,1825,9275
"","","","Rhondda Cynon Taf 001 ","Hirwaun 1 ",390,1114,281,1785
"","","","","Hirwaun 2 ",238,859,287,1384
"","","","","Hirwaun 3 ",258,672,256,1186
"","","","","Pen-y-waun 1 ",317,859,326,1502
"","","","","Pen-y-waun 2 ",373,1011,266,1650
"","","","","Rhigos ",277,1082,409,1768
"","","","Rhondda Cynon Taf 002 ","",1220,4232,1401,6853
"","","","Rhondda Cynon Taf 002 ","Aberdare East 2 ",333,1165,313,1811
"","","","","Aberdare West/Llwydcoed 2 ",332,1156,424,1912
"","","","","Aberdare West/Llwydcoed 3 ",285,983,297,1565
"","","","","Aberdare West/Llwydcoed 5 ",270,928,367,1565
"","","","Rhondda Cynon Taf 003 ","",1286,4755,1669,7710
"","","","Rhondda Cynon Taf 003 ","Aberdare East 3 ",278,919,308,1505
"","","","","Aberdare East 4 ",317,1093,367,1777
"","","","","Aberdare West/Llwydcoed 1 ",225,821,500,1546
"","","","","Aberdare West/Llwydcoed 4 ",233,940,291,1464
"","","","","Aberdare West/Llwydcoed 6 ",233,982,203,1418
"","","","Rhondda Cynon Taf 004 ","",1312,4142,1393,6847
"","","","Rhondda Cynon Taf 004 ","Aberdare East 1 ",230,1051,418,1699
"","","","","Cwmbach 1 ",275,863,342,1480
"","","","","Cwmbach 2 ",637,1604,282,2523
"","","","","Cwmbach 3 ",170,624,351,1145
"","","Rhondda Cynon Taff U003 ","","",4892,16392,5242,26526
"","","Rhondda Cynon Taff U003 ","Rhondda Cynon Taf 009 ","",1047,3461,1273,5781
"","","","Rhondda Cynon Taf 009 ","Ferndale 1 ",229,816,335,1380
"","","","","Ferndale 3 ",190,756,273,1219
"","","","","Maerdy 1 ",329,1054,398,1781
"","","","","Maerdy 2 ",299,835,267,1401
"","","","Rhondda Cynon Taf 013 ","",1227,3676,992,5895
"","","","Rhondda Cynon Taf 013 ","Ferndale 2 ",291,885,277,1453
"","","","","Tylorstown 1 ",315,756,168,1239
"","","","","Tylorstown 2 ",402,1141,292,1835
"","","","","Tylorstown 3 ",219,894,255,1368
"","","","Rhondda Cynon Taf 017 ","",1533,5729,1858,9120
"","","","Rhondda Cynon Taf 017 ","Cymmer (Rhondda Cynon Taf) 1 ",181,855,278,1314
"","","","","Porth 1 ",247,885,267,1399
"","","","","Porth 2 ",266,946,387,1599
"","","","","Porth 3 ",289,1014,233,1536
"","","","","Ynyshir 1 ",251,989,319,1559
"","","","","Ynyshir 2 ",299,1040,374,1713
"","","","Rhondda Cynon Taf 020 ","",1085,3526,1119,5730
"","","","Rhondda Cynon Taf 020 ","Cymmer (Rhondda Cynon Taf) 2 ",254,901,313,1468
"","","","","Cymmer (Rhondda Cynon Taf) 3 ",239,801,243,1283
"","","","","Cymmer (Rhondda Cynon Taf) 4 ",341,867,264,1472
"","","","","Porth 4 ",251,957,299,1507
"","","Rhondda Cynon Taff U004 ","","",7907,26344,8760,43011
"","","Rhondda Cynon Taff U004 ","Rhondda Cynon Taf 007 ","",1084,3559,1170,5813
"","","","Rhondda Cynon Taf 007 ","Treherbert 1 ",279,960,309,1548
"","","","","Treherbert 2 ",235,815,299,1349
"","","","","Treherbert 3 ",270,903,267,1440
"","","","","Treherbert 4 ",300,881,295,1476
"","","","Rhondda Cynon Taf 010 ","",1406,4616,1761,7783
"","","","Rhondda Cynon Taf 010 ","Treorchy 1 ",237,837,379,1453
"","","","","Treorchy 2 ",234,866,390,1490
"","","","","Treorchy 3 ",302,1005,268,1575
"","","","","Treorchy 4 ",304,919,307,1530
"","","","","Treorchy 5 ",329,989,417,1735
"","","","Rhondda Cynon Taf 011 ","",971,3198,1105,5274
"","","","Rhondda Cynon Taf 011 ","Pentre 1 ",278,859,280,1417
"","","","","Pentre 2 ",206,735,328,1269
"","","","","Pentre 3 ",196,659,194,1049
"","","","","Pentre 4 ",291,945,303,1539
"","","","Rhondda Cynon Taf 014 ","",1629,5685,1860,9174
"","","","Rhondda Cynon Taf 014 ","Llwyn-y-pia 1 ",159,644,186,989
"","","","","Llwyn-y-pia 2 ",242,734,264,1240
"","","","","Trealaw 2 ",266,699,188,1153
"","","","","Ystrad 1 ",172,889,335,1396
"","","","","Ystrad 2 ",297,954,295,1546
"","","","","Ystrad 3 ",239,895,294,1428
"","","","","Ystrad 4 ",254,870,298,1422
"","","","Rhondda Cynon Taf 016 ","",1247,4018,1278,6543
"","","","Rhondda Cynon Taf 016 ","Cwm Clydach 1 ",242,769,259,1270
"","","","","Cwm Clydach 2 ",319,868,297,1484
"","","","","Tonypandy 1 ",296,1048,310,1654
"","","","","Tonypandy 2 ",390,1333,412,2135
"","","","Rhondda Cynon Taf 018 ","",1570,5268,1586,8424
"","","","Rhondda Cynon Taf 018 ","Pen-y-graig 1 ",234,740,170,1144
"","","","","Pen-y-graig 2 ",294,995,274,1563
"","","","","Pen-y-graig 3 ",202,774,276,1252
"","","","","Pen-y-graig 4 ",286,911,281,1478
"","","","","Trealaw 1 ",337,1007,359,1703
"","","","","Trealaw 3 ",217,841,226,1284
"","","Rhondda Cynon Taff U005 ","","",8953,27854,8094,44901
"","","Rhondda Cynon Taff U005 ","Rhondda Cynon Taf 023 ","",1942,6443,1761,10146
"","","","Rhondda Cynon Taf 023 ","Gilfach Goch 1 ",304,1056,309,1669
"","","","","Gilfach Goch 2 ",327,1108,342,1777
"","","","","Tonyrefail West 1 ",280,911,277,1468
"","","","","Tonyrefail West 3 ",374,1135,286,1795
"","","","","Tonyrefail West 2 ",394,1211,247,1852
"","","","","Tonyrefail West 4 ",263,1022,300,1585
"","","","Rhondda Cynon Taf 024 ","",1135,3652,1218,6005
"","","","Rhondda Cynon Taf 024 ","Tonyrefail East 1 ",192,847,335,1374
"","","","","Tonyrefail East 2 ",282,855,358,1495
"","","","","Tonyrefail East 3 ",406,995,230,1631
"","","","","Tonyrefail East 4 ",255,955,295,1505
"","","","Rhondda Cynon Taf 029 ","",1955,5870,1386,9211
"","","","Rhondda Cynon Taf 029 ","Brynna 1 ",269,935,371,1575
"","","","","Brynna 2 ",703,2005,378,3086
"","","","","Llanharan 1 ",347,1000,258,1605
"","","","","Llanharan 2 ",636,1930,379,2945
"","","","Rhondda Cynon Taf 030 ","",1398,4608,1699,7705
"","","","Rhondda Cynon Taf 030 ","Llantrisant Town 1 ",187,672,313,1172
"","","","","Llantrisant Town 2 ",460,1366,390,2216
"","","","","Llantrisant Town 3 ",255,961,298,1514
"","","","","Talbot Green 1 ",233,681,364,1278
"","","","","Talbot Green 2 ",263,928,334,1525
"","","","Rhondda Cynon Taf 031 ","",2523,7281,2030,11834
"","","","Rhondda Cynon Taf 031 ","Llanharry 1 ",721,2127,398,3246
"","","","","Llanharry 2 ",318,834,246,1398
"","","","","Pont-y-clun 1 ",291,1002,381,1674
"","","","","Pont-y-clun 2 ",538,1271,296,2105
"","","","","Pont-y-clun 3 ",264,959,437,1660
"","","","","Pont-y-clun 4 ",391,1088,272,1751
"","","Rhondda Cynon Taff U006 ","","",4394,15186,4606,24186
"","","Rhondda Cynon Taff U006 ","Rhondda Cynon Taf 015 ","",1434,4804,1371,7609
"","","","Rhondda Cynon Taf 015 ","Glyncoch 1 ",375,988,213,1576
"","","","","Glyncoch 2 ",207,931,283,1421
"","","","","Ynysybwl 1 ",417,1218,366,2001
"","","","","Ynysybwl 2 ",248,904,359,1511
"","","","","Ynysybwl 3 ",187,763,150,1100
"","","","Rhondda Cynon Taf 019 ","",1283,4199,1255,6737
"","","","Rhondda Cynon Taf 019 ","Cilfynydd 1 ",321,1010,253,1584
"","","","","Cilfynydd 2 ",260,915,176,1351
"","","","","Trallwng 1 ",286,753,247,1286
"","","","","Trallwng 2 ",195,700,320,1215
"","","","","Trallwng 3 ",221,821,259,1301
"","","","Rhondda Cynon Taf 021 ","",1677,6183,1980,9840
"","","","Rhondda Cynon Taf 021 ","Graig (Rhondda Cynon Taf) 1 ",260,907,211,1378
"","","","","Graig (Rhondda Cynon Taf) 2 ",121,733,123,977
"","","","","Pontypridd Town 1 ",225,736,296,1257
"","","","","Pontypridd Town 2 ",206,866,387,1459
"","","","","Rhondda 1 ",245,918,269,1432
"","","","","Rhondda 2 ",327,1025,338,1690
"","","","","Rhondda 3 ",293,998,356,1647
"","","Rhondda Cynon Taff U007 ","","",7262,26396,7350,41008
"","","Rhondda Cynon Taff U007 ","Rhondda Cynon Taf 022 ","",1503,7350,1240,10093
"","","","Rhondda Cynon Taf 022 ","Hawthorn 2 ",371,1236,364,1971
"","","","","Rhydfelen Central / Llan 1 ",250,920,282,1452
"","","","","Rhydfelen Central / Llan 2 ",392,1087,215,1694
"","","","","Treforest 1 ",194,1005,133,1332
"","","","","Treforest 2 ",173,1273,133,1579
"","","","","Treforest 3 ",123,1829,113,2065
"","","","Rhondda Cynon Taf 025 ","",1176,3503,1685,6364
"","","","Rhondda Cynon Taf 025 ","Church Village 1 ",628,1480,321,2429
"","","","","Ton-teg 1 ",142,676,508,1326
"","","","","Ton-teg 2 ",196,673,390,1259
"","","","","Ton-teg 3 ",210,674,466,1350
"","","","Rhondda Cynon Taf 026 ","",1203,4524,1509,7236
"","","","Rhondda Cynon Taf 026 ","Hawthorn 1 ",371,1209,490,2070
"","","","","Rhydfelen Central / Llan 3 ",232,894,257,1383
"","","","","Taffs Well 1 ",275,1295,419,1989
"","","","","Taffs Well 2 ",325,1126,343,1794
"","","","Rhondda Cynon Taf 027 ","",1813,5860,1588,9261
"","","","Rhondda Cynon Taf 027 ","Llantwit Fardre 1 ",258,980,266,1504
"","","","","Llantwit Fardre 2 ",186,721,303,1210
"","","","","Llantwit Fardre 3 ",261,1006,315,1582
"","","","","Llantwit Fardre 4 ",287,1013,319,1619
"","","","","Church Village 2 ",432,1103,221,1756
"","","","","Church Village 3 ",389,1037,164,1590
"","","","Rhondda Cynon Taf 028 ","",1567,5159,1328,8054
"","","","Rhondda Cynon Taf 028 ","Beddau 1 ",220,841,290,1351
"","","","","Beddau 2 ",282,1027,222,1531
"","","","","Beddau 3 ",348,1212,137,1697
"","","","","Tyn-y-nant 1 ",223,741,267,1231
"","","","","Tyn-y-nant 2 ",269,744,160,1173
"","","","","Tyn-y-nant 3 ",225,594,252,1071
"","Merthyr Tydfil ","","","",11553,37406,11224,60183
"","Merthyr Tydfil ","Merthyr Tydfil U002 ","","",5934,20062,6207,32203
"","","Merthyr Tydfil U002 ","Merthyr Tydfil 004 ","",1317,4368,1268,6953
"","","","Merthyr Tydfil 004 ","Cyfarthfa 2 ",469,1117,226,1812
"","","","","Cyfarthfa 3 ",320,1109,377,1806
"","","","","Park 3 ",262,996,315,1573
"","","","","Town 1 ",266,1146,350,1762
"","","","Merthyr Tydfil 005 ","",1571,5313,1597,8481
"","","","Merthyr Tydfil 005 ","Plymouth (Merthyr Tydfil) 3 ",451,1406,426,2283
"","","","","Town 2 ",545,1909,471,2925
"","","","","Town 3 ",304,1005,356,1665
"","","","","Town 4 ",271,993,344,1608
"","","","Merthyr Tydfil 006 ","",1447,4937,1706,8090
"","","","Merthyr Tydfil 006 ","Bedlinog 1 ",241,808,294,1343
"","","","","Merthyr Vale 1 ",235,755,185,1175
"","","","","Merthyr Vale 2 ",227,667,143,1037
"","","","","Merthyr Vale 3 ",245,901,293,1439
"","","","","Plymouth (Merthyr Tydfil) 1 ",246,863,477,1586
"","","","","Plymouth (Merthyr Tydfil) 2 ",253,943,314,1510
"","","","Merthyr Tydfil 007 ","",1599,5444,1636,8679
"","","","Merthyr Tydfil 007 ","Bedlinog 2 ",484,1478,361,2323
"","","","","Treharris 1 ",266,1193,345,1804
"","","","","Treharris 2 ",230,872,301,1403
"","","","","Treharris 3 ",324,961,261,1546
"","","","","Treharris 4 ",295,940,368,1603
"","","Merthyr Tydfil U003 ","","",5619,17344,5017,27980
"","","Merthyr Tydfil U003 ","Merthyr Tydfil 002 ","",1760,6194,1664,9618
"","","","Merthyr Tydfil 002 ","Dowlais 1 ",290,988,289,1567
"","","","","Dowlais 2 ",251,1005,344,1600
"","","","","Dowlais 3 ",308,1262,244,1814
"","","","","Dowlais 4 ",323,1204,286,1813
"","","","","Penydarren 3 ",293,1001,333,1627
"","","","","Penydarren 4 ",295,734,168,1197
"","","","Merthyr Tydfil 003 ","",1591,5310,1789,8690
"","","","Merthyr Tydfil 003 ","Cyfarthfa 1 ",471,1353,324,2148
"","","","","Cyfarthfa 4 ",323,949,440,1712
"","","","","Park 1 ",182,768,254,1204
"","","","","Park 2 ",268,985,264,1517
