"","","","","","All ages ","","","All ages "
"","","","","","Aged 0 to 15 ","Aged 16 to 64 ","Aged 65 and over ","."
"","","","","Penyffordd 1 ",442,1308,419,2169
"","","","","Penyffordd 2 ",403,1478,431,2312
"","","Flintshire U005 ","","",5314,17822,7827,30963
"","","Flintshire U005 ","Flintshire 014 ","",1150,4072,1966,7188
"","","","Flintshire 014 ","Argoed (Flintshire) 1 ",216,684,296,1196
"","","","","Argoed (Flintshire) 2 ",240,883,433,1556
"","","","","Buckley Bistre West 1 ",241,836,405,1482
"","","","","New Brighton 1 ",262,946,444,1652
"","","","","New Brighton 2 ",191,723,388,1302
"","","","Flintshire 016 ","",1913,5823,2397,10133
"","","","Flintshire 016 ","Mold Broncoed 1 ",368,931,321,1620
"","","","","Mold Broncoed 2 ",171,635,333,1139
"","","","","Mold East ",371,1096,513,1980
"","","","","Mold South 1 ",196,668,383,1247
"","","","","Mold South 2 ",258,879,289,1426
"","","","","Mold West 1 ",328,689,246,1263
"","","","","Mold West 2 ",221,925,312,1458
"","","","Flintshire 019 ","",1193,4317,1957,7467
"","","","Flintshire 019 ","Gwernaffield ",267,1062,638,1967
"","","","","Gwernymynydd ",237,928,470,1635
"","","","","Leeswood ",381,1364,440,2185
"","","","","Treuddyn ",308,963,409,1680
"","","","Flintshire 020 ","",1058,3610,1507,6175
"","","","Flintshire 020 ","Caergwrle ",262,905,413,1580
"","","","","Hope 1 ",272,850,348,1470
"","","","","Hope 2 ",231,733,269,1233
"","","","","Llanfynydd ",293,1122,477,1892
"","Wrexham ","","","",26251,82916,26959,136126
"","Wrexham ","Wrexham U001 ","","",6736,22076,7241,36053
"","","Wrexham U001 ","Wrexham 003 ","",1731,4921,1450,8102
"","","","Wrexham 003 ","Gwersyllt East and South 1 ",288,790,319,1397
"","","","","Gwersyllt East and South 2 ",482,1512,202,2196
"","","","","Gwersyllt East and South 3 ",258,780,319,1357
"","","","","Llay 2 ",255,807,367,1429
"","","","","Llay 3 ",448,1032,243,1723
"","","","Wrexham 004 ","",1226,3596,1134,5956
"","","","Wrexham 004 ","Gwersyllt North 1 ",303,954,293,1550
"","","","","Gwersyllt North 2 ",355,800,188,1343
"","","","","Gwersyllt West 1 ",365,1013,311,1689
"","","","","Gwersyllt West 2 ",203,829,342,1374
"","","","Wrexham 005 ","",1694,4876,1240,7810
"","","","Wrexham 005 ","Bryn Cefn ",407,1379,422,2208
"","","","","Gwenfro ",422,1102,267,1791
"","","","","New Broughton 1 ",430,1187,273,1890
"","","","","New Broughton 2 ",435,1208,278,1921
"","","","Wrexham 020 ","",2085,8683,3417,14185
"","","","Wrexham 020 ","Gresford East and West 1 ",161,699,425,1285
"","","","","Gresford East and West 2 ",174,775,477,1426
"","","","","Holt 1 ",486,2632,337,3455
"","","","","Holt 2 ",175,564,354,1093
"","","","","Llay 1 ",234,926,401,1561
"","","","","Marford and Hoseley 1 ",201,689,325,1215
"","","","","Marford and Hoseley 2 ",124,557,304,985
"","","","","Rossett 1 ",198,910,386,1494
"","","","","Rossett 2 ",332,931,408,1671
"","","Wrexham U002 ","","",8328,26408,8243,42979
"","","Wrexham U002 ","Wrexham 007 ","",661,2659,1505,4825
"","","","Wrexham 007 ","Borras Park 1 ",140,499,370,1009
"","","","","Borras Park 2 ",146,630,464,1240
"","","","","Rhosnesni 1 ",183,762,428,1373
"","","","","Rhosnesni 2 ",192,768,243,1203
"","","","Wrexham 008 ","",1377,5285,2262,8924
"","","","Wrexham 008 ","Garden Village ",335,1080,638,2053
"","","","","Grosvenor 1 ",197,771,162,1130
