"","","","Percentage able to speak Welsh "
"Wales ","","",19
"","Carmarthenshire ","",43.9
"","Carmarthenshire ","W01000624 ",55.7
"","","W01000625 ",48.6
"","","W01000626 ",51
"","","W01000627 ",53.4
"","","W01000628 ",26.1
"","","W01000629 ",25.8
"","","W01000630 ",25.1
"","","W01000631 ",15.6
"","","W01000632 ",32.7
"","","W01000633 ",28.9
"","","W01000634 ",35.1
"","","W01000635 ",30.8
"","","W01000636 ",31.1
"","","W01000637 ",34.1
"","","W01000638 ",30.4
"","","W01000639 ",37.9
"","","W01000640 ",47.9
"","","W01000641 ",35.5
"","","W01000642 ",41.4
"","","W01000643 ",31.6
"","","W01000644 ",38.8
"","","W01000645 ",41.1
"","","W01000646 ",48.8
"","","W01000647 ",46
"","","W01000648 ",52.6
"","","W01000649 ",56
"","","W01000650 ",46.7
"","","W01000651 ",28.3
"","","W01000652 ",25.8
"","","W01000653 ",33.2
"","","W01000654 ",24.7
"","","W01000655 ",28.1
"","","W01000656 ",58.5
"","","W01000657 ",59.4
"","","W01000658 ",60.1
"","","W01000659 ",18.8
"","","W01000660 ",22.1
"","","W01000662 ",58.9
"","","W01000663 ",67.2
"","","W01000664 ",60.2
"","","W01000665 ",43.2
"","","W01000666 ",44.5
"","","W01000667 ",32.5
"","","W01000670 ",43.3
"","","W01000671 ",45.3
"","","W01000672 ",24.2
"","","W01000673 ",20.1
"","","W01000674 ",48.7
"","","W01000675 ",57.8
"","","W01000676 ",52.4
"","","W01000677 ",48.1
"","","W01000678 ",38.8
"","","W01000679 ",42
"","","W01000680 ",57.1
"","","W01000681 ",56.9
"","","W01000682 ",60.4
"","","W01000683 ",44.6
"","","W01000684 ",51.6
"","","W01000685 ",56.8
"","","W01000686 ",58.2
"","","W01000687 ",55.7
"","","W01000688 ",55.1
"","","W01000689 ",53.8
"","","W01000690 ",43.5
"","","W01000691 ",37.6
"","","W01000692 ",38.4
"","","W01000693 ",50.5
"","","W01000694 ",45.9
"","","W01000695 ",56.4
"","","W01000696 ",61.1
"","","W01000697 ",67.8
"","","W01000698 ",68.6
"","","W01000699 ",54.4
"","","W01000700 ",44.2
"","","W01000701 ",56.4
"","","W01000702 ",61.6
"","","W01000703 ",25.5
"","","W01000704 ",35.4
"","","W01000705 ",24.6
"","","W01000706 ",25.7
"","","W01000707 ",29.6
"","","W01000708 ",22.8
"","","W01000709 ",48.2
"","","W01000710 ",34.9
"","","W01000711 ",26.8
"","","W01000712 ",59.1
"","","W01000713 ",65.6
"","","W01000714 ",50.6
"","","W01000715 ",55.7
"","","W01000716 ",65.8
"","","W01000717 ",68.8
"","","W01000718 ",71.8
"","","W01000719 ",65.8
"","","W01000720 ",46.6
"","","W01000721 ",54.7
"","","W01000722 ",56.8
"","","W01000723 ",41
"","","W01000724 ",54.1
"","","W01000725 ",54.7
"","","W01000726 ",36.1
"","","W01000727 ",28.7
"","","W01000728 ",53.5
"","","W01000729 ",55.2
"","","W01000730 ",45.7
"","","W01000731 ",47.1
"","","W01000732 ",19.4
"","","W01000733 ",22.9
"","","W01000734 ",22.3
"","","W01000735 ",42.4
"","","W01001923 ",18.7
"","","W01001924 ",16.6
"","","W01001925 ",32.9
"","Swansea ","",11.4
"","Swansea ","W01000736 ",8.4
"","","W01000737 ",8.4
"","","W01000738 ",6.7
"","","W01000739 ",7.9
"","","W01000740 ",10.3
"","","W01000741 ",10.4
"","","W01000742 ",4.9
"","","W01000744 ",7
"","","W01000745 ",6.9
"","","W01000746 ",7.8
"","","W01000747 ",10.4
"","","W01000749 ",7.6
"","","W01000750 ",20.3
"","","W01000751 ",26.5
"","","W01000752 ",14.3
"","","W01000753 ",20.1
"","","W01000754 ",20.5
"","","W01000755 ",8.4
"","","W01000756 ",9.7
"","","W01000757 ",10.1
"","","W01000758 ",9.2
"","","W01000759 ",13
"","","W01000760 ",12.8
"","","W01000761 ",9.1
"","","W01000762 ",6.3
"","","W01000763 ",6.5
"","","W01000764 ",6.1
"","","W01000765 ",6.4
"","","W01000766 ",8.4
"","","W01000767 ",6.2
"","","W01000768 ",7.1
"","","W01000769 ",8.6
"","","W01000770 ",6.8
"","","W01000771 ",8.3
"","","W01000772 ",11.7
"","","W01000773 ",12
"","","W01000774 ",14.1
"","","W01000775 ",8.5
"","","W01000776 ",11.4
"","","W01000777 ",13.3
"","","W01000778 ",13.2
"","","W01000779 ",12.9
"","","W01000781 ",10.1
"","","W01000782 ",7.1
"","","W01000784 ",14.8
"","","W01000785 ",18.1
"","","W01000786 ",18
"","","W01000787 ",9.3
"","","W01000788 ",6.1
"","","W01000789 ",4.7
"","","W01000790 ",4.9
"","","W01000791 ",13.3
"","","W01000792 ",20.1
"","","W01000793 ",16.9
"","","W01000794 ",15.5
"","","W01000795 ",16.1
"","","W01000796 ",15.9
"","","W01000797 ",14.5
"","","W01000798 ",11.5
"","","W01000799 ",10.6
"","","W01000800 ",16.3
"","","W01000801 ",8.7
"","","W01000802 ",15
"","","W01000803 ",38.3
"","","W01000804 ",12.1
"","","W01000805 ",12
"","","W01000806 ",12.7
"","","W01000807 ",10.8
"","","W01000808 ",11.5
"","","W01000809 ",11.9
"","","W01000810 ",8.2
"","","W01000811 ",8.7
"","","W01000812 ",10.1
"","","W01000813 ",13.5
"","","W01000814 ",9.7
"","","W01000815 ",19.9
"","","W01000816 ",12.2
"","","W01000817 ",8.9
"","","W01000818 ",9.5
"","","W01000819 ",12.5
"","","W01000820 ",11.3
"","","W01000821 ",7
"","","W01000822 ",9.8
"","","W01000823 ",9.8
"","","W01000824 ",10.5
"","","W01000825 ",9.4
"","","W01000826 ",11.2
"","","W01000827 ",10.2
"","","W01000828 ",12.2
"","","W01000829 ",17.3
"","","W01000830 ",5.4
"","","W01000831 ",7.3
"","","W01000832 ",6.9
"","","W01000833 ",5.6
"","","W01000834 ",12.2
"","","W01000835 ",7.3
"","","W01000836 ",7.5
"","","W01000837 ",17.5
"","","W01000838 ",12.5
"","","W01000839 ",9.3
"","","W01000840 ",10.6
"","","W01000841 ",12.5
"","","W01000842 ",18.3
"","","W01000843 ",14.5
"","","W01000844 ",14.7
"","","W01000845 ",35.2
"","","W01000846 ",32.6
"","","W01000847 ",32.9
"","","W01000848 ",22.5
"","","W01000849 ",6.2
"","","W01000850 ",6.5
"","","W01000851 ",7
"","","W01000852 ",7.2
"","","W01000853 ",10.3
"","","W01000854 ",10.8
"","","W01000855 ",10.9
"","","W01000856 ",9.2
"","","W01000857 ",9.3
"","","W01000858 ",11.8
"","","W01000859 ",12.9
"","","W01000860 ",14.1
"","","W01000861 ",9.8
"","","W01000862 ",6.6
"","","W01000863 ",5.4
"","","W01000864 ",5.4
"","","W01000865 ",6.1
"","","W01000866 ",5
"","","W01000867 ",6.4
"","","W01000868 ",11.3
"","","W01000869 ",10.2
"","","W01000870 ",10.9
"","","W01000871 ",10
"","","W01000872 ",15.9
"","","W01000873 ",9.4
"","","W01000874 ",10.3
"","","W01000875 ",10.4
"","","W01000876 ",9.2
"","","W01000877 ",17.3
"","","W01000878 ",16.2
"","","W01000879 ",10
"","","W01000880 ",8.8
"","","W01000881 ",6.6
"","","W01000882 ",7.1
"","","W01001938 ",6.7
"","","W01001955 ",5
"","","W01001956 ",8.1
"","","W01001957 ",8.2
"","","W01001958 ",8.3
"","Neath Port Talbot ","",15.3
"","Neath Port Talbot ","W01000883 ",8
"","","W01000884 ",9.6
"","","W01000885 ",7
"","","W01000886 ",7
"","","W01000887 ",13.5
"","","W01000888 ",29.5
"","","W01000889 ",8.3
"","","W01000890 ",8.4
"","","W01000891 ",7.5
"","","W01000892 ",9.3
"","","W01000893 ",14.8
"","","W01000894 ",9.1
"","","W01000895 ",8.1
"","","W01000896 ",11.4
"","","W01000897 ",7
"","","W01000898 ",15.7
"","","W01000899 ",16.2
"","","W01000900 ",14.7
"","","W01000901 ",18
"","","W01000902 ",12.7
"","","W01000903 ",15
"","","W01000904 ",13.2
"","","W01000905 ",11.5
"","","W01000906 ",12.6
"","","W01000907 ",11.9
"","","W01000908 ",12.8
"","","W01000909 ",8.5
"","","W01000910 ",8.7
"","","W01000911 ",10.2
"","","W01000912 ",12.3
"","","W01000913 ",10.5
"","","W01000914 ",10.3
"","","W01000915 ",11.1
"","","W01000916 ",11.8
"","","W01000917 ",12.3
"","","W01000918 ",25.1
"","","W01000919 ",58.8
"","","W01000920 ",8.6
"","","W01000921 ",5.4
"","","W01000922 ",10.3
"","","W01000923 ",12.6
"","","W01000924 ",6.2
"","","W01000925 ",16.3
"","","W01000926 ",24.5
"","","W01000927 ",30.1
"","","W01000928 ",60
"","","W01000929 ",50.7
"","","W01000930 ",7
"","","W01000931 ",60.8
"","","W01000932 ",6.4
"","","W01000933 ",12.1
"","","W01000934 ",8.2
"","","W01000935 ",8.5
"","","W01000936 ",6.9
"","","W01000937 ",8.6
"","","W01000938 ",12.3
"","","W01000939 ",9.1
"","","W01000940 ",8
"","","W01000941 ",9.3
"","","W01000942 ",7.3
"","","W01000943 ",11.3
"","","W01000944 ",19.1
"","","W01000945 ",16
"","","W01000946 ",34.3
"","","W01000947 ",28.2
"","","W01000948 ",31.3
"","","W01000949 ",10.5
"","","W01000950 ",10.8
"","","W01000951 ",7.8
"","","W01000952 ",9
"","","W01000953 ",10.6
"","","W01000954 ",11.9
"","","W01000955 ",26.6
"","","W01000956 ",22.6
"","","W01000957 ",6.9
"","","W01000958 ",7.3
"","","W01000959 ",8.9
"","","W01000960 ",7
"","","W01000961 ",8
"","","W01000962 ",8.6
"","","W01000963 ",7.9
"","","W01000964 ",7.8
"","","W01000965 ",22.9
"","","W01000966 ",6.7
"","","W01000967 ",6.6
"","","W01000968 ",9.1
"","","W01000969 ",13.6
"","","W01000970 ",10.2
"","","W01000971 ",33.6
"","","W01000973 ",47.3
"","","W01001900 ",44.7
"","Bridgend ","",9.7
"","Bridgend ","W01000974 ",8.7
"","","W01000975 ",7.8
"","","W01000976 ",7.7
"","","W01000977 ",7.3
"","","W01000978 ",9.8
"","","W01000979 ",8.8
"","","W01000980 ",9.3
"","","W01000981 ",10.9
"","","W01000982 ",8.4
"","","W01000983 ",9.4
"","","W01000984 ",10.5
"","","W01000985 ",10.6
