LSOA11CD,LSOA11NM,welsh_speakers_percent,wimd_2019,population_count,pop_density_persqkm,over_65_count
W01000129,Conwy 012B,27.3,711,1109,319.8269646719539,235
W01000016,Isle of Anglesey 003A,39.1,168,1283,5023.492560689115,176
W01000121,Conwy 015A,50.3,1165,1160,7.453906264558411,309
W01000128,Conwy 009C,20.1,1159,1359,3666.037226868087,349
W01000122,Conwy 014A,45.4,1126,2160,23.666953372814778,572
W01000123,Conwy 013A,45.0,902,1885,193.92006584023457,400
W01000096,Gwynedd 003C,83.0,900,1356,3940.714908456845,247
W01000014,Isle of Anglesey 006C,80.8,1194,2144,407.4496389205625,400
W01000085,Gwynedd 017C,35.9,725,2024,24.43526646392478,685
W01001096,The Vale of Glamorgan 007E,9.4,785,1307,4654.5584045584055,328
W01001014,Bridgend 002A,10.4,380,1688,3096.6795083470925,367
W01001097,The Vale of Glamorgan 007F,9.3,253,1739,2087.384467650942,202
W01001017,Bridgend 002C,16.0,1150,1492,1821.2890625,305
W01001129,The Vale of Glamorgan 004F,11.6,993,1543,4630.852340936374,229
W01001016,Bridgend 005C,10.3,988,1598,1647.7624252423182,536
W01001121,The Vale of Glamorgan 014E,7.8,863,1618,294.16577277603045,349
W01001128,The Vale of Glamorgan 001C,10.0,1705,1617,124.03540800515472,412
W01001095,The Vale of Glamorgan 007D,9.3,105,1603,5042.466184334696,210
W01001094,The Vale of Glamorgan 007C,11.2,291,1371,5746.018440905281,178
W01001024,Bridgend 003C,7.2,336,1129,189.534473785821,209
W01000527,Ceredigion 008A,36.5,1360,1531,1604.8218029350103,229
W01001009,Bridgend 004C,8.2,606,1266,107.08213859778223,235
W01001536,Torfaen 009C,12.2,174,1214,3161.458333333333,145
W01000559,Pembrokeshire 001B,55.9,880,1441,21.844222347200347,388
W01000558,Pembrokeshire 001A,51.7,1148,2173,49.08416137914522,595
W01001877,Cardiff 011A,7.3,1342,1675,2981.488074047704,214
W01001874,Cardiff 038D,8.1,12,1500,1345.0502152080346,151
W01001876,Cardiff 037D,6.7,74,1684,7162.90940025521,208
W01001875,Cardiff 037C,8.7,498,2846,1311.097802552172,170
W01001872,Cardiff 038B,10.0,335,1598,11381.766381766382,207
W01000721,Carmarthenshire 027C,54.7,1245,1406,81.6629978335492,289
W01000720,Carmarthenshire 027B,46.6,1200,1825,136.7922406943799,452
W01001636,Newport 020A,11.7,1774,1930,167.59291420632167,215
W01001419,Caerphilly 021D,11.5,1172,1574,61.8144545286746,305
W01001889,Cardiff 020B,12.0,1323,1605,3990.551964196917,427
W01001808,Cardiff 007C,7.2,94,1785,5373.269114990971,187
W01001442,Blaenau Gwent 001C,7.9,1462,1198,1697.8458049886622,295
W01001445,Blaenau Gwent 005C,10.3,716,1433,435.020187608148,245
W01001888,Cardiff 010A,16.0,1483,1759,2931.178136977171,280
W01001809,Cardiff 017A,9.6,877,1286,6862.326574172893,258
W01001443,Blaenau Gwent 005A,6.7,303,1349,1047.7669902912621,327
W01001781,Cardiff 026C,20.3,1531,1764,2614.882893566558,451
W01001703,Cardiff 045B,7.2,104,1281,6505.840528186895,205
W01001782,Cardiff 026D,15.6,1782,1392,4391.167192429022,320
W01001783,Cardiff 026E,11.0,1840,1206,4096.467391304348,252
W01001780,Cardiff 026B,16.9,1809,1789,3311.123449935221,308
W01001558,Monmouthshire 002C,8.4,676,1589,4398.007196235815,388
W01001559,Monmouthshire 008A,7.9,1490,1362,3266.187050359712,425
W01001291,Merthyr Tydfil 003A,13.6,1080,2148,707.6963626779126,324
W01001210,Rhondda Cynon Taf 008B,8.9,275,1549,2356.2519014298755,312
W01001213,Rhondda Cynon Taf 011A,13.1,579,1417,6783.1498324557215,280
W01001292,Merthyr Tydfil 004A,8.6,65,1812,2694.023193577163,226
W01001212,Rhondda Cynon Taf 008D,8.7,356,1367,5604.756047560475,240
W01001290,Merthyr Tydfil 007A,9.3,601,2323,1301.5463917525776,361
W01000980,Bridgend 016A,9.3,934,1334,4451.1177844511185,202
W01000901,Neath Port Talbot 014D,18.0,628,1690,597.4475907660762,334
W01000811,Swansea 008B,8.7,309,1514,4601.823708206687,232
W01000890,Neath Port Talbot 015B,8.4,1802,1544,1416.5137614678895,439
W01000810,Swansea 003D,8.2,95,1392,4773.662551440329,251
W01000891,Neath Port Talbot 015C,7.5,783,1515,3261.571582346609,322
W01000475,Powys 001E,32.7,1104,2421,17.854693328495387,682
W01000474,Powys 020B,25.7,1241,1748,6.882794824201293,425
W01000477,Powys 012D,12.2,1098,1442,7.636126397485268,431
W01000590,Pembrokeshire 012B,7.3,933,1070,2580.8007718282684,370
W01000511,Ceredigion 009E,46.9,125,1220,255.9368968700176,155
W01000476,Powys 005C,12.4,1577,1266,93.14576650283999,369
W01000640,Carmarthenshire 007D,47.9,1792,1241,439.71229139354415,353
W01000472,Powys 012C,11.4,1436,1244,41.64588278223957,427
W01001749,Cardiff 027C,8.4,638,1456,3153.5629196447912,255
W01001748,Cardiff 027B,8.8,573,1643,5545.055686803915,233
W01000641,Carmarthenshire 008A,35.5,418,2058,1435.2465304414536,480
W01000453,Powys 010B,14.2,1263,1399,14.454868573317905,387
W01000452,Powys 004B,52.3,882,1978,6.994772662815888,570
W01001901,Powys 017F,13.7,1579,1875,2297.794117647059,538
W01000159,Conwy 014B,65.8,968,1395,11.262906928019929,347
W01001329,Caerphilly 014C,11.6,720,1581,3294.4363409043553,291
W01000261,Flintshire 014C,11.0,1631,1482,3990.3069466882066,405
W01000260,Flintshire 017B,9.1,1629,1714,3370.035391270154,428
W01000268,Flintshire 013B,11.5,1867,1719,1630.0018964536318,364
W01000269,Flintshire 020A,12.6,1244,1580,1352.7397260273974,413
W01001471,Blaenau Gwent 001E,6.7,211,1788,3044.4406606504344,325
W01001318,Merthyr Tydfil 005D,6.2,948,1608,3862.599087196733,344
W01001170,Rhondda Cynon Taf 004D,12.0,1537,1145,1498.1028391992672,351
W01000306,Flintshire 002A,17.0,675,2478,937.1454504197867,489
W01000387,Wrexham 008D,16.1,1849,1160,4216.64849145765,361
W01000059,Gwynedd 006A,86.2,357,2068,971.987215642038,476
W01000051,Gwynedd 015A,78.5,1167,2094,865.5038439282466,488
W01000050,Gwynedd 003A,61.9,855,1396,17.09058499750252,296
W01000053,Gwynedd 004B,73.1,1320,1214,56.46826799635328,229
W01000052,Gwynedd 004A,87.3,1606,1197,625.1305619385838,268
