LSOA11CD,LSOA11NM,pop_density_persqkm
W01000857,Swansea 022E,5441.7490266546865
W01000854,Swansea 022B,1529.9865874688637
W01000850,Swansea 021B,1602.585913576046
W01001928,Conwy 010H,2257.4217971707512
W01000841,Swansea 005C,4946.6882067851375
W01001927,Conwy 010G,743.3311646063761
W01000132,Conwy 001A,4632.85166617517
W01000568,Pembrokeshire 005A,3520.3407255103534
W01000569,Pembrokeshire 005B,811.7454728370222
W01000561,Pembrokeshire 001D,49.737711288129006
W01001518,Torfaen 006E,2824.7884519661525
W01001309,Merthyr Tydfil 008E,5350.77288941736
W01001388,Caerphilly 007D,1581.986143187067
W01001308,Merthyr Tydfil 008D,4703.783012134189
W01001389,Caerphilly 007E,3077.3405698778834
W01001301,Merthyr Tydfil 008C,7006.706671373103
W01001380,Caerphilly 010A,879.198752775547
W01001300,Merthyr Tydfil 008B,2909.9378881987577
W01001381,Caerphilly 010B,286.99966214413996
W01001232,Rhondda Cynon Taf 020D,1421.1618257261412
W01001234,Rhondda Cynon Taf 021E,243.50842586766876
W01001235,Rhondda Cynon Taf 021F,3260.659849508007
W01001237,Rhondda Cynon Taf 022B,6007.447248655357
W01000961,Neath Port Talbot 016C,3396.5045272688985
W01000097,Gwynedd 003D,1348.6698648059312
W01000017,Isle of Anglesey 003B,1412.8053917438922
W01000129,Conwy 012B,319.8269646719539
W01000016,Isle of Anglesey 003A,5023.492560689115
W01000121,Conwy 015A,7.453906264558411
W01000128,Conwy 009C,3666.037226868087
W01000122,Conwy 014A,23.66695337281478
W01000123,Conwy 013A,193.92006584023457
W01000096,Gwynedd 003C,3940.7149084568446
W01000014,Isle of Anglesey 006C,407.4496389205625
W01000085,Gwynedd 017C,24.43526646392478
W01001096,The Vale of Glamorgan 007E,4654.558404558405
W01001014,Bridgend 002A,3096.679508347092
W01001097,The Vale of Glamorgan 007F,2087.384467650942
W01001017,Bridgend 002C,1821.2890625
W01001129,The Vale of Glamorgan 004F,4630.852340936374
W01001016,Bridgend 005C,1647.762425242318
W01001121,The Vale of Glamorgan 014E,294.16577277603045
W01001128,The Vale of Glamorgan 001C,124.03540800515472
W01001095,The Vale of Glamorgan 007D,5042.466184334696
W01001094,The Vale of Glamorgan 007C,5746.018440905281
W01001024,Bridgend 003C,189.534473785821
W01000527,Ceredigion 008A,1604.8218029350103
W01001009,Bridgend 004C,107.08213859778223
W01001536,Torfaen 009C,3161.4583333333335
W01000559,Pembrokeshire 001B,21.844222347200347
W01000558,Pembrokeshire 001A,49.084161379145215
W01001877,Cardiff 011A,2981.488074047704
W01001874,Cardiff 038D,1345.0502152080344
