LSOA11CD,LSOA11NM,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
W01001175,Rhondda Cynon Taf 009A,16,15,15,22,18,21,16,16,14,16,11,11,8,10,9,6,10,13,10,8,12,10,10,6,4,28
W01000686,Carmarthenshire 001B,14,28,18,18,23,25,29,22,25,12,11,16,5,9,6,15,16,15,7,10,6,1,5,6,0,10
W01000753,Swansea 002D,13,8,21,14,19,19,13,15,14,10,7,11,13,5,9,5,8,12,7,10,5,3,1,0,4,9
W01001819,Cardiff 014D,29,47,46,41,43,52,58,44,30,21,29,27,16,20,15,10,19,11,11,10,10,14,4,6,2,5
W01001814,Cardiff 017E,12,15,18,16,17,12,21,15,8,15,17,13,16,15,7,9,5,13,7,5,6,10,4,3,4,3
W01001083,The Vale of Glamorgan 002B,26,33,20,35,28,28,43,26,28,24,20,21,19,16,20,17,9,7,14,7,13,14,3,9,8,23
W01000742,Swansea 016A,10,20,17,13,16,16,14,9,11,13,17,12,12,10,16,8,7,8,7,13,4,5,4,3,3,21
W01000991,Bridgend 001A,5,9,12,4,5,12,15,10,8,12,6,4,3,7,8,3,8,1,4,3,2,6,1,1,3,2
W01000910,Neath Port Talbot 009B,23,27,35,30,25,28,23,31,23,36,25,16,11,14,12,11,11,4,5,1,5,2,1,3,3,5
W01000992,Bridgend 001B,11,13,14,14,11,19,17,11,10,15,19,13,10,13,12,4,4,1,6,7,7,2,9,2,2,3
W01000913,Neath Port Talbot 010B,8,13,11,15,10,14,15,11,11,16,6,5,7,10,7,3,19,7,2,9,4,7,2,0,2,24
W01000554,Pembrokeshire 009A,29,31,26,33,36,34,21,36,25,29,17,23,14,27,11,10,14,9,12,9,12,4,8,5,5,27
W01000557,Pembrokeshire 014A,25,29,23,18,25,18,26,14,14,16,22,12,13,10,6,3,4,13,14,11,6,6,5,6,3,12
W01000990,Bridgend 017B,17,14,11,22,15,17,10,14,9,23,17,17,9,11,10,8,5,3,7,8,5,5,2,5,4,7
W01000555,Pembrokeshire 008A,26,24,22,27,33,24,28,23,14,9,23,28,17,14,21,11,16,18,12,6,11,9,5,6,3,15
W01000937,Neath Port Talbot 013E,21,24,27,16,17,23,27,19,15,19,9,10,17,10,11,13,8,10,5,6,3,7,3,8,5,12
W01000934,Neath Port Talbot 008A,25,18,21,11,11,12,9,4,10,5,5,11,6,6,5,10,11,10,7,6,1,5,5,4,1,3
W01000936,Neath Port Talbot 012A,6,9,13,11,12,18,16,8,9,8,12,4,10,7,7,2,4,2,5,1,3,4,6,3,2,9
W01000935,Neath Port Talbot 008B,25,23,18,18,29,14,17,14,16,17,16,12,11,10,6,10,4,9,8,11,6,4,8,6,5,15
W01000932,Neath Port Talbot 019A,13,14,8,15,8,17,20,9,13,9,8,12,9,8,13,4,13,19,10,7,7,5,0,7,4,12
W01001191,Rhondda Cynon Taf 031A,19,31,26,34,24,31,24,22,20,16,22,11,13,9,13,5,7,10,7,9,9,16,4,7,6,3
W01001111,The Vale of Glamorgan 011E,18,13,11,11,22,22,12,13,15,16,17,19,15,14,12,7,11,4,1,3,6,4,5,3,2,6
W01001192,Rhondda Cynon Taf 031B,19,11,19,19,11,7,18,11,12,10,11,8,10,12,6,3,5,5,9,12,6,3,3,4,4,8
W01001110,The Vale of Glamorgan 011D,15,19,23,22,19,18,31,20,14,16,17,16,7,11,15,11,9,6,7,8,5,9,7,5,10,6
W01001193,Rhondda Cynon Taf 030A,19,16,17,16,12,24,30,17,21,16,13,16,15,8,11,11,4,4,4,6,4,4,7,7,4,7
W01001113,The Vale of Glamorgan 003A,30,41,28,35,27,35,40,33,34,36,26,28,22,19,21,16,15,14,9,8,6,6,10,5,5,8
W01001194,Rhondda Cynon Taf 030B,36,23,24,36,32,23,31,32,20,19,23,13,14,15,7,8,4,4,4,5,2,1,4,3,0,7
W01001112,The Vale of Glamorgan 011F,13,17,14,18,10,15,16,6,10,9,16,12,10,7,16,9,9,4,13,5,4,3,4,4,3,4
W01001190,Rhondda Cynon Taf 029D,35,27,22,15,36,22,25,24,14,10,18,11,11,13,14,15,17,9,6,12,3,2,6,3,3,6
W01001118,The Vale of Glamorgan 014C,31,28,35,28,23,25,35,20,14,19,22,16,11,12,15,13,10,11,8,13,7,7,6,2,3,8
W01000577,Pembrokeshire 007A,22,29,29,24,27,26,29,22,15,14,24,25,20,19,5,13,15,12,12,12,6,10,6,5,12,19
W01000630,Carmarthenshire 024C,35,23,22,19,15,14,10,10,8,16,5,7,6,7,5,8,8,8,2,3,8,7,8,9,7,26
W01000572,Pembrokeshire 005D,26,21,18,19,18,14,16,13,14,14,21,18,18,18,17,8,11,17,18,13,10,7,10,4,6,17
W01000211,Denbighshire 012D,30,32,21,27,32,34,34,22,23,18,28,16,18,10,15,21,15,13,16,9,10,10,6,2,7,22
W01000290,Flintshire 004B,19,33,19,19,22,23,13,13,8,13,13,12,9,7,8,7,13,6,3,8,5,5,4,10,9,17
W01000155,Conwy 004A,16,19,20,20,23,30,35,22,22,35,32,21,25,16,16,23,12,29,16,21,13,10,13,12,12,70
W01001693,Newport 013E,15,9,11,12,5,7,11,7,12,4,5,6,5,11,6,4,5,2,2,2,2,4,0,2,3,3
W01001612,Newport 011B,17,14,14,11,16,17,16,16,15,12,10,7,11,8,6,12,14,4,7,11,11,3,3,0,5,7
W01001615,Newport 005B,13,26,12,16,12,17,10,14,10,3,5,6,9,6,7,9,6,9,7,10,1,8,2,1,3,15
W01001694,Cardiff 036A,6,6,4,5,4,5,6,8,14,3,4,4,3,5,2,5,6,5,3,2,2,3,0,2,0,3
W01001614,Newport 005A,24,24,21,25,17,19,19,17,17,10,15,12,12,15,9,7,7,5,8,8,8,3,9,8,2,38
W01001695,Cardiff 036B,7,18,14,6,9,2,4,3,4,1,2,2,4,4,6,4,3,1,1,0,3,1,0,2,1,5
W01001602,Newport 012B,34,19,26,21,25,32,24,20,20,23,13,21,17,13,13,7,14,21,5,11,14,7,3,6,2,24
W01000198,Denbighshire 011B,19,15,19,17,11,20,12,9,13,10,4,7,11,6,4,7,12,5,3,10,4,2,6,3,2,5
W01001571,Monmouthshire 001D,22,18,17,19,24,27,13,13,11,22,15,24,17,19,11,10,8,10,7,7,4,5,2,5,2,14
W01000958,Neath Port Talbot 016B,15,28,13,17,19,32,25,16,10,17,11,4,3,4,9,9,4,6,7,1,5,7,3,10,8,16
W01000458,Powys 002C,26,24,23,17,18,25,22,18,18,19,21,21,18,15,11,18,18,16,15,8,14,9,11,7,3,23
W01000459,Powys 014D,29,20,32,28,22,21,15,19,13,18,26,11,8,8,4,10,9,5,10,8,7,11,4,6,1,7
W01000731,Carmarthenshire 017C,27,30,25,39,27,42,41,25,30,35,32,16,19,20,23,10,13,10,15,9,13,8,5,8,7,17
W01001523,Torfaen 004C,12,13,24,9,12,12,19,12,12,8,7,15,11,7,8,5,9,10,6,1,1,5,2,2,1,4
W01000960,Neath Port Talbot 017F,12,18,21,13,23,16,23,10,10,13,11,13,5,7,10,12,12,8,12,11,9,5,6,5,3,16
W01000968,Neath Port Talbot 019D,30,30,23,25,16,30,29,23,33,17,20,17,18,11,11,7,12,14,8,14,5,2,4,1,3,5
W01000718,Carmarthenshire 010D,20,17,14,21,24,16,16,13,15,14,18,11,14,8,5,6,7,7,8,2,0,5,1,5,2,10
W01000137,Conwy 015C,19,16,26,31,22,26,34,20,23,16,8,21,14,28,15,9,7,8,8,11,7,7,4,5,6,11
W01001453,Blaenau Gwent 008D,22,25,14,21,19,12,21,17,15,7,13,13,5,12,11,10,10,7,5,1,5,4,1,5,2,4
W01001452,Blaenau Gwent 007C,24,16,22,10,16,19,24,12,11,19,6,3,11,5,5,5,3,6,3,4,4,1,0,1,1,4
W01001450,Blaenau Gwent 007A,16,17,14,16,21,16,17,23,18,20,9,9,9,9,14,6,10,8,7,5,2,5,4,5,3,11
W01001553,Monmouthshire 004B,41,25,29,33,34,34,42,32,31,30,26,21,20,24,22,19,21,10,12,10,15,12,7,5,6,26
W01001552,Monmouthshire 004A,29,28,19,30,25,36,32,37,22,31,16,17,21,16,12,14,18,10,11,10,11,7,4,5,1,25
W01001740,Cardiff 039D,10,11,15,9,12,8,14,13,9,7,7,11,10,1,12,8,6,5,2,5,2,2,1,2,0,15
W01001743,Cardiff 043B,20,11,12,12,15,22,20,14,16,19,16,16,12,15,14,8,16,5,11,11,7,3,6,5,1,5
W01001506,Torfaen 010A,23,22,16,19,15,13,22,10,17,8,17,20,13,13,9,6,8,11,9,3,7,10,9,8,5,43
