LA Name,LA Code,QS113: One person household: Total %,KS301: Day-to-day activities limited a lot %,LC3304: Provides unpaid care age 65+: Total %
Blaenau Gwent 007F,W01001461,36,14.6,2.7
Blaenau Gwent 007E,W01001460,34.8,12.7,1.8
Blaenau Gwent 007D,W01001459,28.8,14.7,2.2
Blaenau Gwent 004E,W01001458,25.2,12.4,3.2
Blaenau Gwent 004D,W01001457,33.8,16.1,2
Blaenau Gwent 004C,W01001456,29.3,16.2,3
Blaenau Gwent 008F,W01001455,36.9,19.5,2.6
Blaenau Gwent 008E,W01001454,30,15.8,3.8
Blaenau Gwent 008D,W01001453,30.2,18,3.7
Blaenau Gwent 007C,W01001452,23.1,9.4,1.8
Blaenau Gwent 007B,W01001451,36.4,16.3,2.1
Blaenau Gwent 007A,W01001450,30.9,16,3.1
Blaenau Gwent 002D,W01001449,42.3,15.8,3.3
Blaenau Gwent 002C,W01001448,42.3,14.5,3.4
Blaenau Gwent 002B,W01001447,25.2,12.3,2
Blaenau Gwent 002A,W01001446,24.9,18.1,2.7
Blaenau Gwent 005C,W01001445,27.5,14.7,3.5
Blaenau Gwent 005B,W01001444,26.1,13.6,2.2
Blaenau Gwent 005A,W01001443,39.2,18.6,3
Blaenau Gwent 001C,W01001442,22.8,10.6,2.7
Blaenau Gwent 001B,W01001441,29.4,19.1,2.1
Blaenau Gwent 001A,W01001440,30,13.2,2.8
Blaenau Gwent 004B,W01001439,21.3,12.8,3
Blaenau Gwent 004A,W01001438,37.3,20.4,3.3
Blaenau Gwent 008C,W01001437,27.2,13.5,3.1
Blaenau Gwent 008B,W01001436,39.9,15.9,2.5
Blaenau Gwent 008A,W01001435,29.6,13.5,2.3
Caerphilly 013F,W01001434,18.2,7,3.2
Caerphilly 013E,W01001433,33.7,15.2,3.6
Caerphilly 013D,W01001432,28,11.5,2.5
Caerphilly 015C,W01001431,24.8,13.4,2.7
Caerphilly 015B,W01001430,29.1,13.4,2.3
Caerphilly 001F,W01001429,32.3,13.7,2.2
Caerphilly 001E,W01001428,27.1,19,2.5
Caerphilly 024F,W01001427,17.3,3.1,0.8
Caerphilly 024E,W01001426,17.5,7.7,3.5
Caerphilly 024D,W01001425,31.7,11.4,4.3
Caerphilly 024C,W01001424,34.1,16.2,3.3
Caerphilly 024B,W01001423,24.4,12.7,4.4
Caerphilly 022F,W01001422,29.4,16.3,5.3
Caerphilly 022E,W01001421,37.7,19.8,1.6
Caerphilly 022D,W01001420,26.5,8.4,2.9
Caerphilly 021D,W01001419,21.7,10,2.2
Caerphilly 008E,W01001418,28.3,17.4,2.9
Caerphilly 008D,W01001417,18.2,9.7,2.3
Caerphilly 008C,W01001416,28,18.9,3.6
Caerphilly 008B,W01001415,23.5,16,2.4
Caerphilly 008A,W01001414,25.2,13.8,1.3
Caerphilly 017C,W01001413,29.5,14.4,3.1
